County,Date,Deaths,Case,Vehicles
MARICOPA (13),2014-01-08,1,40003,1
MARICOPA (13),2014-01-13,1,40007,2
MARICOPA (13),2014-01-18,1,40009,1
MARICOPA (13),2014-01-01,1,40019,1
MARICOPA (13),2014-01-25,1,40021,1
MARICOPA (13),2014-01-28,1,40023,2
MARICOPA (13),2014-02-12,1,40034,2
MARICOPA (13),2014-02-16,1,40037,1
MARICOPA (13),2014-02-16,1,40038,1
MARICOPA (13),2014-01-20,1,40049,4
MARICOPA (13),2014-01-01,1,40050,2
MARICOPA (13),2014-01-02,1,40051,1
MARICOPA (13),2014-01-04,1,40052,2
MARICOPA (13),2014-01-11,1,40054,1
MARICOPA (13),2014-01-15,1,40055,3
MARICOPA (13),2014-01-16,1,40056,1
MARICOPA (13),2014-01-18,1,40057,1
MARICOPA (13),2014-01-20,1,40058,1
MARICOPA (13),2014-01-22,1,40059,1
MARICOPA (13),2014-01-22,1,40060,2
MARICOPA (13),2014-01-25,1,40061,2
MARICOPA (13),2014-01-27,1,40062,2
MARICOPA (13),2014-01-28,1,40063,1
MARICOPA (13),,1,40064,1
MARICOPA (13),2014-01-31,1,40065,3
MARICOPA (13),2014-03-01,1,40070,2
MARICOPA (13),2014-03-06,1,40073,1
MARICOPA (13),2014-03-08,1,40075,1
MARICOPA (13),2014-03-20,1,40081,4
MARICOPA (13),2014-03-22,1,40083,1
MARICOPA (13),2014-03-29,2,40085,2
MARICOPA (13),2014-03-30,1,40087,2
MARICOPA (13),2014-03-24,1,40091,2
MARICOPA (13),2014-02-14,1,40094,2
MARICOPA (13),2014-02-12,1,40098,2
MARICOPA (13),2014-02-13,1,40099,2
MARICOPA (13),2014-03-12,1,40102,2
MARICOPA (13),2014-03-13,1,40103,1
MARICOPA (13),2014-01-27,1,40104,1
MARICOPA (13),2014-02-06,1,40108,1
MARICOPA (13),,1,40110,2
MARICOPA (13),2014-02-08,1,40111,1
MARICOPA (13),2014-02-09,1,40112,1
MARICOPA (13),2014-02-14,1,40113,1
MARICOPA (13),2014-02-16,1,40115,1
MARICOPA (13),2014-02-16,1,40116,2
MARICOPA (13),2014-02-19,1,40117,1
MARICOPA (13),2014-02-21,1,40118,1
MARICOPA (13),2014-02-22,1,40119,1
MARICOPA (13),2014-02-28,1,40121,3
MARICOPA (13),2014-02-10,1,40122,2
MARICOPA (13),2014-03-02,2,40125,1
MARICOPA (13),2014-03-14,1,40126,1
MARICOPA (13),2014-03-29,1,40128,2
MARICOPA (13),2014-03-09,1,40129,1
