County,Date,Deaths,Case,Vehicles
SAN DIEGO (73),2014-01-09,1,60005,2
SAN DIEGO (73),2014-01-06,1,60008,2
LOS ANGELES (37),2014-01-02,1,60012,1
SAN DIEGO (73),2014-01-03,1,60016,1
LOS ANGELES (37),2014-01-03,1,60017,1
LOS ANGELES (37),2014-01-04,1,60019,1
LOS ANGELES (37),2014-01-07,1,60024,1
SAN DIEGO (73),2014-01-10,1,60028,1
LOS ANGELES (37),2014-01-06,1,60030,2
LOS ANGELES (37),2014-01-15,1,60031,3
LOS ANGELES (37),2014-01-02,1,60032,2
LOS ANGELES (37),2014-01-04,1,60034,2
LOS ANGELES (37),2014-01-05,1,60036,2
LOS ANGELES (37),2014-01-07,1,60038,2
SAN DIEGO (73),2014-01-07,1,60039,2
LOS ANGELES (37),2014-01-07,1,60040,2
SAN DIEGO (73),2014-01-03,1,60042,1
LOS ANGELES (37),2014-01-04,1,60043,1
LOS ANGELES (37),2014-01-09,1,60051,1
LOS ANGELES (37),2014-01-10,1,60057,2
LOS ANGELES (37),,1,60058,1
LOS ANGELES (37),2014-01-11,1,60059,1
LOS ANGELES (37),2014-01-10,1,60060,1
SAN DIEGO (73),2014-01-10,3,60061,1
SANTA CLARA (85),2014-01-10,1,60065,1
LOS ANGELES (37),2014-01-12,3,60067,1
LOS ANGELES (37),2014-01-11,1,60070,1
LOS ANGELES (37),2014-01-14,1,60071,1
LOS ANGELES (37),2014-01-14,1,60073,1
LOS ANGELES (37),2014-01-13,1,60074,3
SAN DIEGO (73),2014-01-14,1,60076,2
LOS ANGELES (37),2014-01-14,1,60079,1
LOS ANGELES (37),2014-01-16,1,60082,1
SAN DIEGO (73),2014-01-15,1,60088,1
SAN DIEGO (73),2014-01-14,1,60089,1
LOS ANGELES (37),2014-01-12,1,60093,1
SAN DIEGO (73),2014-01-14,1,60094,2
SANTA CLARA (85),,1,60096,1
LOS ANGELES (37),2014-01-19,1,60101,2
LOS ANGELES (37),2014-01-19,1,60102,2
SANTA CLARA (85),2014-01-22,1,60104,3
LOS ANGELES (37),2014-01-18,2,60106,1
SAN DIEGO (73),2014-01-22,1,60108,1
LOS ANGELES (37),2014-01-22,1,60109,1
LOS ANGELES (37),2014-01-23,1,60110,1
SANTA CLARA (85),2014-01-19,1,60111,1
LOS ANGELES (37),2014-01-19,1,60113,1
SAN DIEGO (73),2014-01-24,1,60114,1
LOS ANGELES (37),2014-01-26,1,60119,2
LOS ANGELES (37),2014-01-25,1,60121,1
LOS ANGELES (37),2014-01-24,1,60125,1
LOS ANGELES (37),2014-01-20,1,60128,3
SANTA CLARA (85),2014-01-18,1,60129,1
SAN DIEGO (73),2014-01-20,1,60130,1
SAN DIEGO (73),2014-01-26,2,60131,1
LOS ANGELES (37),2014-01-27,1,60133,1
LOS ANGELES (37),2014-01-29,1,60144,1
SAN DIEGO (73),2014-01-29,1,60147,1
LOS ANGELES (37),2014-01-11,1,60149,1
SANTA CLARA (85),2014-01-29,1,60151,1
LOS ANGELES (37),2014-01-07,1,60156,2
LOS ANGELES (37),2014-01-30,1,60160,2
LOS ANGELES (37),2014-01-30,1,60161,2
LOS ANGELES (37),2014-01-26,1,60163,1
SANTA CLARA (85),2014-01-30,1,60166,2
LOS ANGELES (37),2014-01-28,1,60168,1
SAN DIEGO (73),2014-01-31,1,60169,2
SANTA CLARA (85),2014-02-01,1,60174,1
SAN DIEGO (73),2014-01-26,1,60182,3
LOS ANGELES (37),2014-02-03,1,60184,2
LOS ANGELES (37),2014-02-02,1,60189,3
LOS ANGELES (37),2014-02-13,1,60193,1
SAN DIEGO (73),2014-02-03,1,60194,1
LOS ANGELES (37),2014-02-04,1,60203,8
SANTA CLARA (85),2014-02-07,1,60205,3
LOS ANGELES (37),2014-02-06,1,60215,1
LOS ANGELES (37),2014-02-14,1,60217,1
LOS ANGELES (37),2014-02-08,1,60219,2
LOS ANGELES (37),2014-02-09,1,60227,2
LOS ANGELES (37),2014-02-13,1,60232,2
LOS ANGELES (37),2014-02-14,1,60233,2
LOS ANGELES (37),2014-02-13,1,60234,1
SAN DIEGO (73),2014-02-14,1,60236,1
LOS ANGELES (37),2014-02-14,1,60238,1
SAN DIEGO (73),2014-02-20,1,60243,1
LOS ANGELES (37),2014-02-11,1,60245,2
LOS ANGELES (37),2014-02-16,1,60246,2
LOS ANGELES (37),2014-02-11,1,60247,1
LOS ANGELES (37),2014-02-15,1,60252,2
SAN DIEGO (73),2014-02-15,1,60257,3
SAN DIEGO (73),2014-02-17,1,60259,2
LOS ANGELES (37),2014-02-18,1,60261,1
SAN DIEGO (73),2014-02-19,1,60268,1
SAN DIEGO (73),2014-02-12,1,60269,1
LOS ANGELES (37),2014-02-16,1,60271,2
LOS ANGELES (37),2014-02-20,1,60272,1
LOS ANGELES (37),2014-02-23,1,60279,2
LOS ANGELES (37),2014-02-21,1,60280,1
SAN DIEGO (73),2014-01-31,1,60281,1
SAN DIEGO (73),2014-02-16,1,60289,1
SAN DIEGO (73),2014-02-22,1,60290,1
SAN DIEGO (73),2014-02-23,1,60292,1
SAN DIEGO (73),2014-02-24,1,60296,1
LOS ANGELES (37),2014-02-26,1,60298,1
SAN DIEGO (73),2014-02-27,1,60301,3
SAN DIEGO (73),2014-02-22,1,60304,1
LOS ANGELES (37),2014-02-28,1,60307,1
LOS ANGELES (37),2014-02-28,1,60310,1
SAN DIEGO (73),2014-02-24,1,60313,2
LOS ANGELES (37),2014-03-01,2,60314,2
LOS ANGELES (37),2014-02-22,1,60315,3
LOS ANGELES (37),2014-02-28,1,60316,2
LOS ANGELES (37),2014-02-28,1,60318,1
LOS ANGELES (37),2014-02-26,1,60322,1
SAN DIEGO (73),2014-03-08,1,60335,3
LOS ANGELES (37),2014-03-03,1,60337,1
LOS ANGELES (37),2014-03-08,1,60341,1
SAN DIEGO (73),2014-03-03,1,60350,1
SANTA CLARA (85),2014-03-09,1,60353,1
LOS ANGELES (37),2014-03-09,1,60354,1
SANTA CLARA (85),2014-03-04,1,60355,2
LOS ANGELES (37),2014-03-10,1,60360,1
LOS ANGELES (37),2014-03-12,1,60362,3
LOS ANGELES (37),2014-03-13,1,60364,2
SANTA CLARA (85),2014-03-09,1,60367,1
SAN DIEGO (73),2014-03-13,1,60368,1
LOS ANGELES (37),2014-02-22,1,60378,1
LOS ANGELES (37),2014-03-19,1,60379,2
LOS ANGELES (37),2014-03-14,1,60384,1
LOS ANGELES (37),2014-03-14,1,60388,1
SANTA CLARA (85),2014-03-05,1,60391,2
SAN DIEGO (73),2014-03-20,1,60393,1
SAN DIEGO (73),2014-03-20,1,60396,2
LOS ANGELES (37),2014-03-06,1,60397,1
LOS ANGELES (37),2014-03-06,1,60399,1
SAN DIEGO (73),2014-03-22,1,60400,1
LOS ANGELES (37),2014-03-22,1,60402,2
LOS ANGELES (37),2014-03-06,1,60403,1
LOS ANGELES (37),2014-03-21,1,60407,2
SAN DIEGO (73),2014-03-15,1,60410,1
LOS ANGELES (37),2014-03-23,1,60415,2
SAN DIEGO (73),2014-03-15,1,60419,2
LOS ANGELES (37),2014-03-23,1,60420,3
SAN DIEGO (73),2014-03-21,1,60428,1
SAN DIEGO (73),2014-03-23,1,60434,2
LOS ANGELES (37),2014-03-27,1,60435,1
SAN DIEGO (73),2014-02-23,1,60437,2
LOS ANGELES (37),2014-03-24,1,60440,2
LOS ANGELES (37),2014-03-28,1,60446,3
SAN DIEGO (73),2014-03-16,1,60450,1
SANTA CLARA (85),2014-03-26,1,60452,1
SAN DIEGO (73),2014-03-28,1,60453,1
SANTA CLARA (85),2014-03-16,1,60454,2
LOS ANGELES (37),2014-03-30,1,60455,1
LOS ANGELES (37),2014-03-30,1,60457,1
SAN DIEGO (73),2014-03-17,1,60459,2
LOS ANGELES (37),2014-04-03,1,60461,2
LOS ANGELES (37),2014-03-30,1,60467,2
LOS ANGELES (37),2014-03-30,1,60470,2
LOS ANGELES (37),2014-02-22,1,60477,2
SAN DIEGO (73),2014-04-05,1,60478,1
LOS ANGELES (37),2014-04-02,1,60484,1
LOS ANGELES (37),2014-02-08,1,60485,2
SANTA CLARA (85),2014-04-02,1,60488,1
LOS ANGELES (37),2014-01-11,1,60490,3
LOS ANGELES (37),2014-03-08,1,60492,1
LOS ANGELES (37),2014-04-03,1,60494,2
LOS ANGELES (37),2014-04-07,1,60501,3
LOS ANGELES (37),2014-03-20,1,60502,2
SANTA CLARA (85),2014-02-19,1,60503,1
SANTA CLARA (85),2014-04-06,1,60506,3
SAN DIEGO (73),2014-04-09,1,60507,1
SAN DIEGO (73),2014-03-28,1,60512,2
SANTA CLARA (85),2014-04-09,1,60513,1
SAN DIEGO (73),2014-04-10,1,60514,1
LOS ANGELES (37),2014-04-09,1,60516,1
SAN DIEGO (73),2014-04-13,1,60518,1
SANTA CLARA (85),2014-04-13,1,60525,2
LOS ANGELES (37),2014-04-15,1,60526,2
SANTA CLARA (85),2014-04-13,1,60530,3
SAN DIEGO (73),2014-04-11,1,60534,2
SAN DIEGO (73),2014-04-11,1,60537,3
LOS ANGELES (37),2014-04-14,1,60542,2
SAN DIEGO (73),2014-04-16,1,60543,3
LOS ANGELES (37),2014-04-11,1,60544,2
SANTA CLARA (85),2014-04-15,1,60545,1
LOS ANGELES (37),2014-02-09,6,60552,4
LOS ANGELES (37),2014-03-23,1,60553,4
LOS ANGELES (37),2014-04-18,1,60556,1
SAN DIEGO (73),2014-04-06,1,60558,1
LOS ANGELES (37),2014-03-28,1,60560,2
LOS ANGELES (37),2014-01-23,1,60561,2
LOS ANGELES (37),2014-04-19,1,60565,3
SANTA CLARA (85),2014-04-17,1,60566,2
SAN DIEGO (73),2014-04-19,2,60568,1
LOS ANGELES (37),2014-01-27,1,60569,3
SAN DIEGO (73),2014-04-17,1,60570,4
SAN DIEGO (73),2014-04-19,1,60571,4
LOS ANGELES (37),2014-03-08,2,60572,4
SANTA CLARA (85),2014-04-21,1,60574,3
SAN DIEGO (73),2014-02-09,1,60575,1
SAN DIEGO (73),2014-02-10,1,60576,1
LOS ANGELES (37),2014-04-12,1,60578,2
LOS ANGELES (37),2014-04-20,1,60581,2
SAN DIEGO (73),2014-04-12,1,60588,1
LOS ANGELES (37),2014-04-12,1,60590,1
SANTA CLARA (85),2014-02-09,1,60592,1
LOS ANGELES (37),2014-04-22,1,60593,1
LOS ANGELES (37),2014-03-05,1,60594,1
LOS ANGELES (37),2014-04-23,1,60598,1
LOS ANGELES (37),2014-03-13,1,60602,2
LOS ANGELES (37),2014-04-25,1,60610,2
LOS ANGELES (37),2014-04-23,1,60612,4
SAN DIEGO (73),2014-04-10,1,60619,2
LOS ANGELES (37),2014-04-25,1,60624,1
LOS ANGELES (37),2014-04-24,1,60625,2
LOS ANGELES (37),2014-04-28,2,60626,1
LOS ANGELES (37),2014-04-15,1,60627,2
LOS ANGELES (37),2014-04-28,1,60629,2
SANTA CLARA (85),2014-04-26,1,60631,1
LOS ANGELES (37),2014-04-27,1,60633,2
LOS ANGELES (37),2014-04-16,1,60635,1
SAN DIEGO (73),2014-04-16,1,60636,2
SANTA CLARA (85),2014-01-05,1,60640,2
SAN DIEGO (73),2014-04-18,1,60641,2
LOS ANGELES (37),2014-04-19,1,60642,2
SANTA CLARA (85),2014-03-29,1,60649,1
SAN DIEGO (73),2014-03-07,1,60650,1
LOS ANGELES (37),2014-03-01,1,60652,2
LOS ANGELES (37),2014-03-29,1,60655,2
LOS ANGELES (37),2014-03-25,1,60660,2
LOS ANGELES (37),2014-04-29,1,60668,1
LOS ANGELES (37),2014-04-30,1,60670,1
LOS ANGELES (37),2014-04-20,1,60673,4
LOS ANGELES (37),2014-03-01,1,60676,1
LOS ANGELES (37),2014-03-08,1,60680,1
SAN DIEGO (73),2014-05-01,1,60681,1
LOS ANGELES (37),2014-05-01,1,60682,2
SAN DIEGO (73),2014-01-12,1,60688,2
LOS ANGELES (37),2014-04-20,1,60691,1
LOS ANGELES (37),2014-05-02,1,60692,1
LOS ANGELES (37),2014-04-29,1,60694,1
LOS ANGELES (37),2014-05-03,1,60703,2
LOS ANGELES (37),2014-05-01,1,60707,1
SANTA CLARA (85),2014-05-01,1,60708,2
LOS ANGELES (37),2014-05-03,1,60711,1
LOS ANGELES (37),2014-05-03,2,60712,2
LOS ANGELES (37),2014-05-03,1,60714,2
SAN DIEGO (73),2014-02-26,1,60716,1
LOS ANGELES (37),2014-05-08,1,60720,2
LOS ANGELES (37),2014-05-03,1,60721,6
SAN DIEGO (73),2014-05-03,1,60722,1
SAN DIEGO (73),2014-05-03,1,60725,1
LOS ANGELES (37),2014-05-09,1,60726,1
LOS ANGELES (37),,1,60729,1
LOS ANGELES (37),2014-05-10,1,60730,1
LOS ANGELES (37),2014-05-05,1,60731,1
LOS ANGELES (37),2014-05-05,1,60732,1
SAN DIEGO (73),2014-05-10,1,60737,1
SAN DIEGO (73),2014-05-04,1,60746,3
LOS ANGELES (37),2014-05-01,1,60749,1
SAN DIEGO (73),2014-05-01,1,60755,1
LOS ANGELES (37),2014-05-08,1,60757,3
LOS ANGELES (37),2014-05-10,1,60758,1
SANTA CLARA (85),2014-05-18,1,60765,2
LOS ANGELES (37),2014-05-11,1,60770,1
LOS ANGELES (37),2014-05-18,1,60772,2
LOS ANGELES (37),2014-05-14,1,60775,2
