County,Date,Deaths,Case,Vehicles
COOK (31),2014-01-06,1,170004,2
COOK (31),2014-01-12,2,170006,3
COOK (31),2014-01-14,1,170011,1
COOK (31),2014-01-17,1,170012,1
COOK (31),2014-01-30,1,170034,2
COOK (31),2014-02-03,1,170045,1
COOK (31),2014-02-09,2,170054,1
COOK (31),2014-02-07,1,170055,2
COOK (31),2014-01-08,1,170059,2
COOK (31),2014-01-25,1,170061,1
COOK (31),2014-01-27,2,170064,1
COOK (31),2014-02-21,1,170076,2
COOK (31),2014-02-03,1,170077,2
COOK (31),2014-03-08,1,170080,1
COOK (31),2014-03-24,1,170086,2
COOK (31),2014-01-17,1,170097,1
COOK (31),2014-02-06,1,170099,3
COOK (31),2014-03-08,1,170100,1
COOK (31),2014-02-08,1,170101,2
COOK (31),2014-02-14,1,170102,1
COOK (31),2014-03-10,1,170106,2
COOK (31),2014-03-27,1,170107,1
COOK (31),2014-03-21,1,170108,1
COOK (31),2014-01-01,3,170111,1
COOK (31),2014-01-28,1,170112,1
COOK (31),2014-01-31,1,170113,2
COOK (31),2014-01-15,1,170114,1
COOK (31),2014-02-03,1,170115,1
COOK (31),2014-03-10,2,170121,5
COOK (31),2014-03-22,1,170128,1
COOK (31),2014-03-30,1,170130,2
COOK (31),2014-03-24,1,170135,1
COOK (31),2014-03-28,1,170137,1
COOK (31),2014-04-12,1,170141,2
COOK (31),2014-03-10,1,170142,1
COOK (31),2014-03-30,1,170145,1
COOK (31),2014-04-09,1,170158,1
COOK (31),2014-03-17,1,170163,2
COOK (31),2014-03-18,1,170167,2
COOK (31),2014-03-30,1,170171,1
COOK (31),2014-04-25,1,170181,1
COOK (31),2014-04-26,1,170182,2
COOK (31),2014-04-27,1,170185,1
COOK (31),2014-04-19,1,170194,1
COOK (31),2014-04-27,2,170196,1
COOK (31),2014-04-27,1,170197,1
COOK (31),2014-04-24,1,170198,1
COOK (31),2014-04-24,1,170199,2
COOK (31),2014-05-07,1,170211,1
COOK (31),2014-05-06,1,170212,1
COOK (31),2014-05-03,1,170219,2
COOK (31),2014-04-03,1,170221,1
COOK (31),2014-05-23,1,170233,1
COOK (31),2014-05-24,1,170240,1
COOK (31),2014-05-04,1,170246,1
COOK (31),2014-06-01,2,170250,2
COOK (31),2014-05-18,1,170264,1
COOK (31),2014-06-03,1,170268,1
COOK (31),2014-06-09,1,170271,1
COOK (31),2014-05-29,1,170273,3
COOK (31),2014-06-06,1,170275,2
COOK (31),2014-05-29,1,170285,5
COOK (31),2014-06-08,1,170304,2
COOK (31),2014-06-14,1,170317,1
COOK (31),2014-05-05,1,170319,2
COOK (31),2014-05-21,1,170322,1
COOK (31),2014-06-24,1,170329,1
COOK (31),2014-07-01,1,170330,2
COOK (31),2014-07-05,1,170333,1
COOK (31),2014-06-19,1,170334,2
COOK (31),2014-07-06,1,170335,1
COOK (31),2014-05-11,1,170342,1
COOK (31),2014-07-04,4,170346,2
COOK (31),2014-07-09,1,170355,1
COOK (31),2014-07-05,2,170362,3
COOK (31),2014-07-11,1,170363,4
COOK (31),2014-04-23,1,170367,2
COOK (31),2014-07-20,1,170369,2
COOK (31),2014-07-19,1,170370,1
COOK (31),2014-07-23,1,170374,2
COOK (31),2014-03-29,1,170375,1
COOK (31),2014-03-14,1,170376,2
COOK (31),2014-03-28,1,170377,2
COOK (31),2014-04-25,1,170378,1
COOK (31),2014-04-08,1,170379,1
COOK (31),2014-07-08,1,170380,1
COOK (31),2014-06-22,1,170382,1
COOK (31),2014-04-20,1,170385,1
COOK (31),2014-05-23,1,170386,1
COOK (31),2014-05-02,1,170388,2
COOK (31),2014-05-21,1,170389,1
COOK (31),2014-05-29,1,170390,1
COOK (31),2014-06-01,1,170391,1
COOK (31),2014-06-01,1,170392,2
COOK (31),2014-06-12,4,170394,1
COOK (31),2014-06-14,1,170395,1
COOK (31),2014-06-18,1,170396,1
COOK (31),2014-04-11,1,170397,1
COOK (31),2014-05-10,1,170398,1
COOK (31),2014-05-26,1,170399,1
COOK (31),2014-05-19,1,170400,1
COOK (31),2014-05-29,1,170401,1
COOK (31),2014-06-07,1,170404,1
COOK (31),2014-07-03,1,170407,1
COOK (31),2014-07-26,1,170417,1
COOK (31),2014-04-10,2,170419,4
COOK (31),2014-06-21,1,170420,1
COOK (31),2014-06-30,1,170421,1
COOK (31),2014-07-21,1,170430,2
COOK (31),2014-07-30,1,170439,5
COOK (31),2014-08-01,1,170440,2
COOK (31),2014-08-12,1,170459,2
COOK (31),2014-08-16,1,170471,1
COOK (31),2014-08-17,1,170473,1
COOK (31),2014-08-12,1,170483,2
COOK (31),2014-08-09,1,170490,1
COOK (31),2014-08-24,1,170495,1
COOK (31),2014-08-04,1,170496,1
COOK (31),2014-08-30,1,170501,1
COOK (31),2014-08-30,1,170503,2
COOK (31),2014-04-08,1,170507,1
COOK (31),2014-07-28,1,170509,2
COOK (31),2014-09-07,1,170517,1
COOK (31),2014-09-04,1,170520,1
COOK (31),2014-02-03,1,170522,1
COOK (31),2014-09-07,1,170529,2
COOK (31),2014-09-07,1,170537,1
COOK (31),2014-07-20,1,170540,2
COOK (31),2014-09-12,1,170543,2
COOK (31),2014-09-07,1,170552,1
COOK (31),2014-08-24,1,170557,1
COOK (31),2014-09-07,1,170558,1
COOK (31),2014-09-22,1,170563,2
COOK (31),2014-09-05,1,170569,2
COOK (31),2014-09-26,1,170570,1
COOK (31),2014-09-28,1,170582,1
COOK (31),2014-09-17,1,170583,3
COOK (31),2014-09-22,1,170591,2
COOK (31),2014-10-05,3,170594,11
