County,Date,Deaths,Case,Vehicles
QUEENS (81),2014-01-01,1,360002,1
QUEENS (81),2014-01-02,1,360005,2
KINGS (47),2014-01-02,1,360006,2
RICHMOND (85),2014-01-01,1,360007,3
KINGS (47),2014-01-06,1,360009,1
NEW YORK (61),2014-01-10,1,360014,1
NEW YORK (61),2014-01-10,1,360016,1
KINGS (47),2014-01-11,1,360019,1
BRONX (5),2014-01-11,1,360021,2
NEW YORK (61),2014-01-17,1,360026,2
KINGS (47),2014-01-12,1,360032,2
QUEENS (81),2014-01-18,1,360034,1
NEW YORK (61),2014-01-19,1,360036,2
BRONX (5),2014-01-20,1,360039,6
KINGS (47),2014-01-31,1,360055,5
KINGS (47),2014-02-03,1,360063,1
QUEENS (81),2014-02-03,1,360065,1
KINGS (47),2014-02-07,1,360067,1
NEW YORK (61),2014-01-31,1,360068,2
NEW YORK (61),2014-02-12,1,360071,1
NEW YORK (61),2014-02-12,1,360073,4
QUEENS (81),2014-02-18,2,360074,1
KINGS (47),2014-02-23,1,360077,1
RICHMOND (85),2014-01-10,1,360078,2
QUEENS (81),2014-02-20,1,360081,1
BRONX (5),2014-01-25,1,360083,1
QUEENS (81),2014-02-23,1,360090,1
KINGS (47),2014-03-01,1,360091,1
NEW YORK (61),2014-01-19,1,360103,1
QUEENS (81),2014-03-05,1,360115,3
QUEENS (81),2014-03-07,1,360118,1
QUEENS (81),2014-03-06,1,360119,1
KINGS (47),2014-03-09,1,360122,2
QUEENS (81),2014-03-18,1,360128,2
KINGS (47),2014-03-18,1,360131,1
KINGS (47),2014-03-21,1,360135,1
BRONX (5),2014-03-21,1,360136,2
NEW YORK (61),2014-03-27,1,360137,1
KINGS (47),2014-03-23,1,360138,1
BRONX (5),2014-03-24,1,360139,1
KINGS (47),2014-04-04,1,360143,1
NEW YORK (61),2014-03-27,1,360144,1
BRONX (5),2014-04-03,1,360145,2
QUEENS (81),2014-01-05,1,360160,1
KINGS (47),2014-04-09,1,360161,3
NEW YORK (61),2014-04-10,1,360163,2
QUEENS (81),2014-04-14,1,360169,2
RICHMOND (85),2014-04-05,1,360174,3
KINGS (47),2014-04-16,1,360183,2
QUEENS (81),2014-04-23,1,360185,1
QUEENS (81),2014-04-04,4,360190,1
KINGS (47),2014-04-08,1,360192,5
QUEENS (81),2014-03-25,1,360193,1
QUEENS (81),2014-04-21,1,360196,1
RICHMOND (85),2014-01-26,1,360198,2
QUEENS (81),2014-03-28,1,360201,2
QUEENS (81),2014-04-26,1,360210,1
KINGS (47),2014-04-26,1,360211,2
BRONX (5),2014-04-28,1,360216,3
QUEENS (81),2014-04-02,1,360217,1
KINGS (47),2014-04-30,1,360223,3
QUEENS (81),2014-05-01,1,360224,1
QUEENS (81),2014-05-03,1,360227,1
KINGS (47),2014-05-04,1,360230,4
NEW YORK (61),2014-05-06,1,360231,3
NEW YORK (61),2014-03-15,1,360232,1
KINGS (47),2014-03-16,1,360233,1
NEW YORK (61),2014-05-08,1,360236,1
NEW YORK (61),2014-04-17,1,360244,1
RICHMOND (85),2014-05-11,1,360257,2
QUEENS (81),2014-05-11,1,360259,1
KINGS (47),2014-05-14,1,360262,1
QUEENS (81),2014-05-16,1,360265,2
KINGS (47),2014-05-21,1,360271,2
QUEENS (81),2014-01-18,1,360272,1
KINGS (47),2014-05-19,2,360273,2
NEW YORK (61),2014-05-22,1,360276,1
QUEENS (81),2014-05-19,1,360279,2
BRONX (5),2014-05-24,1,360285,3
KINGS (47),2014-05-26,1,360286,2
QUEENS (81),2014-05-27,1,360287,1
BRONX (5),2014-06-02,1,360298,1
QUEENS (81),2014-06-02,1,360301,3
KINGS (47),2014-06-02,1,360305,1
NEW YORK (61),2014-06-05,1,360308,2
QUEENS (81),2014-06-07,1,360309,1
BRONX (5),2014-06-04,1,360313,2
QUEENS (81),2014-06-07,1,360315,1
QUEENS (81),2014-01-12,1,360318,1
RICHMOND (85),2014-06-09,1,360324,1
QUEENS (81),2014-06-10,1,360327,1
QUEENS (81),2014-06-13,1,360336,1
BRONX (5),2014-06-15,1,360345,1
KINGS (47),2014-06-13,1,360355,1
RICHMOND (85),2014-06-05,1,360356,2
KINGS (47),2014-06-25,1,360362,2
KINGS (47),2014-06-25,1,360366,1
KINGS (47),2014-06-28,1,360374,1
QUEENS (81),2014-06-29,1,360378,2
KINGS (47),2014-07-02,1,360379,2
NEW YORK (61),2014-07-02,1,360380,1
QUEENS (81),2014-07-04,1,360384,1
QUEENS (81),2014-07-05,1,360385,2
KINGS (47),2014-07-09,2,360391,2
NEW YORK (61),2014-07-10,1,360392,1
KINGS (47),2014-07-13,1,360400,1
KINGS (47),2014-07-14,1,360404,1
BRONX (5),2014-07-14,1,360407,1
QUEENS (81),2014-07-18,1,360412,3
RICHMOND (85),2014-07-18,1,360413,1
NEW YORK (61),2014-07-20,1,360416,1
QUEENS (81),2014-07-09,1,360417,2
QUEENS (81),2014-07-23,1,360423,1
KINGS (47),2014-05-31,1,360426,3
QUEENS (81),2014-07-24,1,360438,2
NEW YORK (61),2014-07-25,1,360440,2
BRONX (5),2014-07-24,1,360441,4
QUEENS (81),2014-07-27,1,360444,3
KINGS (47),2014-07-25,1,360445,1
QUEENS (81),2014-07-27,1,360449,1
QUEENS (81),2014-07-28,1,360451,1
QUEENS (81),2014-07-29,1,360453,1
QUEENS (81),2014-08-01,1,360454,3
QUEENS (81),2014-08-01,1,360460,1
QUEENS (81),2014-08-02,2,360462,1
QUEENS (81),2014-08-05,1,360469,1
KINGS (47),2014-08-01,1,360479,1
QUEENS (81),2014-08-12,1,360484,1
QUEENS (81),2014-05-23,1,360493,2
QUEENS (81),2014-08-13,1,360517,1
KINGS (47),2014-08-15,1,360519,1
KINGS (47),2014-08-17,1,360525,3
QUEENS (81),2014-08-18,1,360527,1
NEW YORK (61),2014-08-18,1,360530,1
QUEENS (81),2014-08-27,1,360550,1
KINGS (47),2014-08-28,1,360552,1
QUEENS (81),2014-08-29,1,360554,1
NEW YORK (61),2014-08-29,1,360555,3
QUEENS (81),2014-08-30,1,360557,1
QUEENS (81),2014-08-30,1,360560,1
BRONX (5),2014-06-20,1,360562,1
QUEENS (81),2014-06-07,1,360564,2
NEW YORK (61),2014-09-04,1,360574,1
KINGS (47),2014-09-03,1,360580,1
NEW YORK (61),2014-09-07,1,360582,1
KINGS (47),2014-09-05,1,360583,2
QUEENS (81),2014-09-10,1,360588,1
QUEENS (81),2014-09-12,1,360604,5
BRONX (5),2014-09-12,2,360606,1
BRONX (5),2014-09-12,1,360612,1
BRONX (5),2014-09-16,1,360613,3
KINGS (47),2014-09-17,1,360614,1
QUEENS (81),2014-09-18,2,360616,1
QUEENS (81),2014-09-22,1,360624,2
BRONX (5),2014-09-23,1,360626,3
NEW YORK (61),2014-09-25,1,360627,1
KINGS (47),2014-05-25,1,360634,1
KINGS (47),2014-07-06,1,360636,1
NEW YORK (61),2014-09-23,1,360642,2
KINGS (47),2014-09-25,1,360643,1
NEW YORK (61),2014-09-28,1,360644,1
QUEENS (81),2014-10-01,1,360654,1
QUEENS (81),2014-09-30,1,360655,1
KINGS (47),2014-10-06,1,360664,1
BRONX (5),2014-08-24,1,360668,2
QUEENS (81),2014-10-08,1,360669,1
QUEENS (81),2014-10-07,1,360676,1
NEW YORK (61),2014-10-14,1,360679,1
KINGS (47),2014-10-17,2,360684,1
QUEENS (81),2014-09-28,1,360695,2
BRONX (5),2014-10-03,1,360699,1
NEW YORK (61),2014-10-10,1,360700,1
QUEENS (81),2014-10-23,1,360701,1
KINGS (47),2014-05-05,1,360704,1
NEW YORK (61),2014-04-30,1,360705,1
QUEENS (81),2014-02-01,1,360706,1
KINGS (47),2014-05-21,1,360707,3
QUEENS (81),2014-06-21,1,360708,1
KINGS (47),2014-10-26,1,360709,1
KINGS (47),2014-10-26,1,360710,1
QUEENS (81),2014-10-17,1,360714,2
RICHMOND (85),2014-10-29,1,360716,1
NEW YORK (61),2014-10-30,1,360720,1
KINGS (47),2014-11-01,1,360723,1
QUEENS (81),2014-10-30,1,360724,1
KINGS (47),2014-09-15,1,360725,2
BRONX (5),2014-09-07,1,360726,1
BRONX (5),2014-08-06,1,360730,1
KINGS (47),2014-11-03,1,360732,3
QUEENS (81),2014-11-04,1,360735,3
QUEENS (81),2014-11-05,1,360740,1
KINGS (47),2014-11-08,1,360742,1
BRONX (5),2014-11-09,1,360744,1
QUEENS (81),2014-11-04,1,360745,1
KINGS (47),2014-09-07,1,360751,1
BRONX (5),2014-11-13,1,360774,1
BRONX (5),2014-11-13,1,360775,1
RICHMOND (85),2014-11-15,1,360784,1
KINGS (47),2014-11-20,1,360793,1
QUEENS (81),2014-11-20,1,360797,2
KINGS (47),2014-11-19,1,360798,1
NEW YORK (61),2014-11-24,1,360802,1
BRONX (5),2014-11-24,1,360803,1
NEW YORK (61),2014-11-24,1,360805,1
NEW YORK (61),2014-11-29,1,360813,2
KINGS (47),2014-12-02,1,360816,1
BRONX (5),2014-01-02,1,360820,1
BRONX (5),2014-09-21,1,360824,1
BRONX (5),2014-11-25,1,360826,1
KINGS (47),2014-12-14,1,360834,1
BRONX (5),2014-12-17,1,360862,1
RICHMOND (85),2014-12-22,1,360865,4
BRONX (5),2014-10-12,1,360876,2
BRONX (5),2014-10-24,1,360879,2
KINGS (47),2014-11-17,1,360883,1
NEW YORK (61),2014-11-12,1,360907,1
KINGS (47),2014-12-09,1,360911,1
KINGS (47),2014-12-23,1,360924,1
KINGS (47),2014-05-10,1,360947,4
KINGS (47),2014-02-11,1,360953,1
KINGS (47),2014-06-10,1,360956,1
QUEENS (81),2014-12-03,1,360957,1
KINGS (47),2014-02-02,1,360958,1
KINGS (47),2014-07-14,1,360959,1
KINGS (47),2014-11-30,1,360960,2
NEW YORK (61),2014-08-28,1,360961,1
BRONX (5),2014-09-28,1,360963,2
KINGS (47),2014-10-20,1,360964,1
QUEENS (81),2014-10-29,1,360965,1
QUEENS (81),2014-11-08,1,360966,1
NEW YORK (61),2014-12-05,1,360967,1
QUEENS (81),2014-12-07,1,360968,2
KINGS (47),2014-05-13,1,360969,1
BRONX (5),2014-09-16,1,360970,2
KINGS (47),2014-12-28,1,360971,1
NEW YORK (61),2014-12-31,1,360972,1
QUEENS (81),2014-12-13,1,360973,6
RICHMOND (85),2014-07-31,1,360981,1
KINGS (47),2014-11-24,1,360982,1
KINGS (47),2014-12-16,1,360983,1
BRONX (5),2015-01-01,1,360001,2
QUEENS (81),2015-01-13,1,360025,1
QUEENS (81),2015-01-14,1,360028,2
QUEENS (81),2015-01-19,1,360040,1
NEW YORK (61),2015-01-23,1,360045,1
QUEENS (81),2015-01-29,1,360055,1
KINGS (47),2015-02-09,1,360059,1
NEW YORK (61),2015-02-11,1,360062,2
KINGS (47),2015-02-19,1,360071,1
QUEENS (81),2015-02-20,1,360076,2
BRONX (5),2015-01-04,1,360079,2
BRONX (5),2015-01-09,1,360080,2
QUEENS (81),2015-01-16,1,360091,1
KINGS (47),2015-01-05,1,360093,4
QUEENS (81),2015-02-04,1,360095,2
NEW YORK (61),2015-01-03,1,360096,1
RICHMOND (85),2015-02-17,1,360100,1
KINGS (47),2015-02-20,1,360103,1
QUEENS (81),2015-02-22,1,360104,1
QUEENS (81),2015-03-01,1,360105,1
RICHMOND (85),2015-03-02,1,360106,1
NEW YORK (61),2015-01-23,1,360110,1
KINGS (47),2015-03-16,1,360122,1
QUEENS (81),2015-03-17,1,360129,1
RICHMOND (85),2015-03-20,2,360135,2
BRONX (5),2015-03-20,2,360138,2
QUEENS (81),2015-04-01,1,360139,1
KINGS (47),2015-03-09,1,360142,2
RICHMOND (85),2015-03-24,1,360143,1
QUEENS (81),2015-02-03,1,360147,2
NEW YORK (61),2015-04-02,1,360149,2
QUEENS (81),2015-04-05,2,360152,1
BRONX (5),2015-04-05,1,360154,1
KINGS (47),2015-03-25,1,360155,1
QUEENS (81),2015-04-09,1,360158,2
BRONX (5),2015-02-23,1,360162,1
BRONX (5),2015-02-26,1,360163,1
QUEENS (81),2015-01-17,1,360166,1
QUEENS (81),2015-01-31,1,360167,1
KINGS (47),2015-02-27,1,360168,1
QUEENS (81),2015-02-20,1,360170,1
KINGS (47),2015-04-12,1,360175,2
KINGS (47),2015-01-05,1,360176,1
KINGS (47),2015-04-18,1,360177,1
BRONX (5),2015-04-02,1,360178,1
BRONX (5),2015-04-18,1,360182,2
NEW YORK (61),2015-04-19,1,360192,2
QUEENS (81),2015-04-20,1,360196,1
KINGS (47),2015-04-21,1,360197,1
QUEENS (81),2015-04-25,1,360205,1
RICHMOND (85),2015-04-26,1,360206,1
KINGS (47),2015-04-26,1,360208,4
QUEENS (81),2015-04-28,2,360209,1
KINGS (47),2015-04-30,1,360211,6
BRONX (5),2015-05-03,1,360219,1
KINGS (47),2015-05-04,1,360224,2
NEW YORK (61),2015-05-06,1,360231,1
KINGS (47),2015-05-10,1,360233,1
QUEENS (81),2015-05-11,1,360234,1
BRONX (5),2015-05-12,1,360240,2
NEW YORK (61),2015-05-09,1,360253,1
KINGS (47),2015-05-01,1,360255,2
BRONX (5),2015-05-13,1,360258,1
QUEENS (81),2015-04-16,1,360259,1
NEW YORK (61),2015-05-15,1,360268,2
NEW YORK (61),2015-05-20,1,360269,1
RICHMOND (85),2015-05-10,1,360270,3
KINGS (47),2015-05-21,1,360271,1
KINGS (47),2015-05-22,1,360272,1
NEW YORK (61),2015-05-24,1,360275,1
KINGS (47),2015-05-25,1,360280,1
NEW YORK (61),2015-05-25,1,360282,1
RICHMOND (85),2015-05-26,1,360286,2
QUEENS (81),2015-05-26,1,360289,3
KINGS (47),2015-05-26,1,360291,1
NEW YORK (61),2015-05-27,1,360297,1
BRONX (5),2015-05-30,1,360304,1
KINGS (47),2015-06-02,1,360313,11
KINGS (47),2015-06-03,1,360314,2
QUEENS (81),2015-06-04,1,360315,1
BRONX (5),2015-06-04,1,360316,2
QUEENS (81),2015-05-11,1,360318,1
RICHMOND (85),2015-06-08,1,360325,1
QUEENS (81),2015-06-14,1,360336,1
NEW YORK (61),2015-06-16,1,360358,2
KINGS (47),2015-06-19,1,360364,1
KINGS (47),2015-06-22,1,360366,1
KINGS (47),2015-06-23,1,360373,2
RICHMOND (85),2015-06-24,1,360374,2
BRONX (5),2015-06-20,1,360377,1
NEW YORK (61),2015-06-27,1,360380,2
BRONX (5),2015-05-31,1,360383,1
QUEENS (81),2015-06-27,1,360387,1
BRONX (5),2015-06-28,1,360389,4
KINGS (47),2015-06-29,1,360390,1
NEW YORK (61),2015-06-29,1,360391,3
QUEENS (81),2015-06-28,1,360393,2
KINGS (47),2015-07-01,1,360395,2
QUEENS (81),2015-07-01,3,360396,2
KINGS (47),2015-07-02,1,360399,1
BRONX (5),2015-07-06,1,360405,1
BRONX (5),2015-07-08,1,360408,1
RICHMOND (85),2015-07-06,1,360410,1
KINGS (47),2015-07-09,1,360412,1
QUEENS (81),2015-07-12,1,360414,1
KINGS (47),2015-07-13,1,360417,3
NEW YORK (61),2015-07-17,1,360424,1
QUEENS (81),2015-07-18,1,360428,2
QUEENS (81),2015-07-19,1,360438,2
NEW YORK (61),2015-05-14,1,360440,1
KINGS (47),2015-05-16,1,360441,1
RICHMOND (85),2015-07-20,1,360442,1
KINGS (47),2015-05-19,1,360443,1
NEW YORK (61),2015-06-01,1,360444,1
