County,Date,Deaths,Case,Vehicles
PHILADELPHIA (101),2014-01-26,1,420031,1
PHILADELPHIA (101),2014-01-06,1,420032,1
PHILADELPHIA (101),2014-02-02,1,420064,1
PHILADELPHIA (101),2014-02-21,1,420071,1
PHILADELPHIA (101),2014-02-18,1,420074,2
PHILADELPHIA (101),2014-02-16,1,420076,1
PHILADELPHIA (101),2014-02-17,1,420095,1
PHILADELPHIA (101),2014-03-05,1,420117,1
PHILADELPHIA (101),2014-03-24,1,420147,1
PHILADELPHIA (101),2014-03-30,1,420152,1
PHILADELPHIA (101),2014-03-13,1,420161,1
PHILADELPHIA (101),2014-03-25,1,420171,1
PHILADELPHIA (101),2014-03-23,1,420198,2
PHILADELPHIA (101),2014-04-06,2,420220,2
PHILADELPHIA (101),2014-04-14,1,420221,2
PHILADELPHIA (101),2014-04-04,1,420234,1
PHILADELPHIA (101),2014-04-18,1,420242,2
PHILADELPHIA (101),2014-04-26,1,420253,4
PHILADELPHIA (101),2014-04-19,1,420255,1
PHILADELPHIA (101),2014-04-12,1,420259,4
PHILADELPHIA (101),2014-05-25,1,420289,1
PHILADELPHIA (101),2014-05-10,1,420322,1
PHILADELPHIA (101),2014-05-20,1,420325,1
PHILADELPHIA (101),2014-05-19,1,420326,1
PHILADELPHIA (101),2014-05-01,1,420349,2
PHILADELPHIA (101),2014-05-06,2,420354,2
PHILADELPHIA (101),2014-05-04,1,420362,2
PHILADELPHIA (101),2014-05-01,1,420380,1
PHILADELPHIA (101),2014-06-17,1,420391,1
PHILADELPHIA (101),2014-06-06,1,420394,1
PHILADELPHIA (101),2014-06-05,1,420430,2
PHILADELPHIA (101),2014-06-06,1,420434,2
PHILADELPHIA (101),2014-06-15,1,420435,2
PHILADELPHIA (101),2014-05-14,1,420446,1
PHILADELPHIA (101),2014-07-19,1,420487,1
PHILADELPHIA (101),2014-07-01,1,420528,2
PHILADELPHIA (101),2014-07-07,1,420531,1
PHILADELPHIA (101),2014-07-25,4,420532,1
PHILADELPHIA (101),2014-07-28,1,420538,1
PHILADELPHIA (101),2014-07-19,1,420542,3
PHILADELPHIA (101),2014-07-15,1,420546,1
PHILADELPHIA (101),2014-07-15,1,420570,2
PHILADELPHIA (101),2014-08-29,1,420634,3
PHILADELPHIA (101),2014-08-25,1,420637,1
PHILADELPHIA (101),2014-08-08,1,420638,1
PHILADELPHIA (101),2014-08-30,1,420641,1
PHILADELPHIA (101),2014-08-31,1,420656,1
PHILADELPHIA (101),2014-08-15,1,420657,1
PHILADELPHIA (101),2014-04-08,1,420664,1
PHILADELPHIA (101),2014-08-31,1,420665,1
PHILADELPHIA (101),2014-08-30,1,420678,1
PHILADELPHIA (101),2014-08-28,1,420701,2
PHILADELPHIA (101),2014-08-01,1,420704,2
PHILADELPHIA (101),2014-09-14,3,420746,1
PHILADELPHIA (101),2014-09-26,1,420764,1
PHILADELPHIA (101),2014-12-12,1,420789,1
PHILADELPHIA (101),2014-12-06,1,420791,1
PHILADELPHIA (101),2014-12-01,1,420792,1
PHILADELPHIA (101),2014-09-04,1,420794,3
PHILADELPHIA (101),2014-12-29,1,420795,1
PHILADELPHIA (101),2014-12-01,1,420796,1
PHILADELPHIA (101),2014-09-02,1,420814,1
PHILADELPHIA (101),2014-09-12,1,420820,2
PHILADELPHIA (101),2014-09-20,1,420821,1
PHILADELPHIA (101),2014-09-30,1,420823,1
PHILADELPHIA (101),2014-09-04,1,420824,1
PHILADELPHIA (101),2014-09-25,1,420827,2
PHILADELPHIA (101),2014-09-26,1,420835,2
PHILADELPHIA (101),2014-12-13,1,420862,1
PHILADELPHIA (101),2014-10-22,1,420901,1
PHILADELPHIA (101),2014-10-01,1,420922,1
PHILADELPHIA (101),2014-10-19,1,420928,2
PHILADELPHIA (101),2014-11-18,1,420931,1
PHILADELPHIA (101),2014-11-03,1,420951,3
PHILADELPHIA (101),2014-11-12,1,420959,2
PHILADELPHIA (101),2014-10-25,1,420964,2
PHILADELPHIA (101),2014-10-12,1,420988,2
PHILADELPHIA (101),2014-10-16,1,420992,2
PHILADELPHIA (101),2014-10-16,1,420994,2
PHILADELPHIA (101),2014-10-22,1,421002,2
PHILADELPHIA (101),2014-11-01,2,421009,1
PHILADELPHIA (101),2014-11-01,1,421010,1
PHILADELPHIA (101),2014-11-12,1,421016,1
PHILADELPHIA (101),2014-11-15,1,421019,1
PHILADELPHIA (101),2014-11-16,1,421020,1
PHILADELPHIA (101),2014-11-27,1,421030,1
PHILADELPHIA (101),2014-11-01,1,421065,2
PHILADELPHIA (101),2014-11-30,1,421087,1
PHILADELPHIA (101),2014-12-23,1,421106,2
PHILADELPHIA (101),2015-01-03,1,420026,1
PHILADELPHIA (101),2015-01-21,1,420027,1
PHILADELPHIA (101),2015-01-06,1,420028,1
PHILADELPHIA (101),2015-01-23,1,420044,2
PHILADELPHIA (101),2015-02-15,1,420087,2
PHILADELPHIA (101),2015-02-01,1,420090,1
PHILADELPHIA (101),2015-02-04,1,420093,1
PHILADELPHIA (101),2015-02-13,1,420107,1
PHILADELPHIA (101),2015-03-01,1,420153,1
PHILADELPHIA (101),2015-03-23,1,420159,2
PHILADELPHIA (101),2015-03-27,1,420160,2
PHILADELPHIA (101),2015-03-16,1,420166,1
PHILADELPHIA (101),2015-04-29,1,420216,2
PHILADELPHIA (101),,1,420218,2
PHILADELPHIA (101),2015-04-22,1,420220,1
PHILADELPHIA (101),2015-04-13,1,420225,1
PHILADELPHIA (101),2015-04-03,1,420226,1
PHILADELPHIA (101),2015-04-02,1,420228,1
PHILADELPHIA (101),,1,420231,2
PHILADELPHIA (101),2015-04-13,1,420235,1
PHILADELPHIA (101),2015-05-08,1,420295,1
PHILADELPHIA (101),2015-04-25,1,420296,1
PHILADELPHIA (101),2015-05-10,1,420302,1
PHILADELPHIA (101),2015-05-24,1,420324,2
PHILADELPHIA (101),2015-05-29,1,420335,1
PHILADELPHIA (101),2015-05-23,1,420358,2
PHILADELPHIA (101),2015-05-02,2,420361,5
PHILADELPHIA (101),2015-05-09,1,420369,2
PHILADELPHIA (101),2015-06-07,1,420429,1
PHILADELPHIA (101),2015-06-28,1,420445,1
PHILADELPHIA (101),2015-06-22,1,420449,1
PHILADELPHIA (101),2015-06-24,1,420450,1
PHILADELPHIA (101),2015-07-04,1,420470,1
PHILADELPHIA (101),2015-07-29,3,420513,1
PHILADELPHIA (101),2015-07-29,1,420514,1
PHILADELPHIA (101),2015-07-01,3,420520,1
PHILADELPHIA (101),2015-08-10,2,420532,1
PHILADELPHIA (101),2015-12-28,1,420533,1
PHILADELPHIA (101),2015-08-22,1,420535,1
PHILADELPHIA (101),2015-08-02,1,420536,1
PHILADELPHIA (101),2015-08-09,1,420537,1
PHILADELPHIA (101),2015-08-11,1,420538,1
PHILADELPHIA (101),,1,420563,3
PHILADELPHIA (101),2015-07-17,1,420573,3
PHILADELPHIA (101),2015-09-18,1,420575,1
PHILADELPHIA (101),2015-12-11,1,420579,1
PHILADELPHIA (101),2015-07-02,1,420589,1
PHILADELPHIA (101),2015-07-07,1,420593,1
PHILADELPHIA (101),2015-07-12,1,420600,1
PHILADELPHIA (101),2015-08-13,1,420618,1
PHILADELPHIA (101),2015-07-26,1,420678,2
PHILADELPHIA (101),2015-12-23,1,420707,2
PHILADELPHIA (101),2015-09-04,1,420747,1
PHILADELPHIA (101),2015-10-05,1,420748,2
PHILADELPHIA (101),2015-09-27,1,420752,2
PHILADELPHIA (101),2015-08-30,1,420757,2
PHILADELPHIA (101),2015-12-20,3,420767,3
PHILADELPHIA (101),2015-07-12,1,420769,5
PHILADELPHIA (101),2015-09-18,1,420778,1
PHILADELPHIA (101),2015-12-19,1,420784,2
PHILADELPHIA (101),2015-08-30,1,420790,2
PHILADELPHIA (101),2015-09-11,1,420828,1
PHILADELPHIA (101),2015-09-25,1,420834,1
PHILADELPHIA (101),2015-09-21,1,420835,1
PHILADELPHIA (101),2015-09-15,1,420845,2
PHILADELPHIA (101),2015-11-24,1,420923,1
PHILADELPHIA (101),2015-11-13,1,420924,1
PHILADELPHIA (101),2015-11-26,1,420925,1
PHILADELPHIA (101),2015-11-07,1,420927,1
PHILADELPHIA (101),2015-10-31,1,420933,2
PHILADELPHIA (101),2015-10-27,1,420934,2
PHILADELPHIA (101),2015-09-07,2,420959,1
PHILADELPHIA (101),2015-10-17,1,420963,1
PHILADELPHIA (101),2015-10-18,1,420967,1
PHILADELPHIA (101),2015-10-01,1,420985,1
PHILADELPHIA (101),2015-08-18,1,420997,1
PHILADELPHIA (101),2015-11-18,1,421010,1
PHILADELPHIA (101),2015-11-19,1,421014,1
PHILADELPHIA (101),2015-11-07,1,421015,1
PHILADELPHIA (101),2015-11-06,1,421016,1
PHILADELPHIA (101),2015-11-21,1,421038,3
PHILADELPHIA (101),2015-12-05,1,421047,2
PHILADELPHIA (101),2015-12-08,1,421048,2
PHILADELPHIA (101),2015-11-16,1,421052,2
PHILADELPHIA (101),2015-10-23,1,421070,2
PHILADELPHIA (101),2016-01-06,1,420015,1
PHILADELPHIA (101),2016-01-29,1,420031,1
PHILADELPHIA (101),2016-01-21,1,420036,1
PHILADELPHIA (101),2016-02-07,1,420083,1
PHILADELPHIA (101),2016-02-26,1,420084,1
PHILADELPHIA (101),2016-02-18,1,420116,2
