County,Date,Deaths,Case,Vehicles
BEXAR (29),2014-01-01,1,480001,2
DALLAS (113),2014-01-01,1,480002,1
DALLAS (113),2014-01-01,2,480003,2
HARRIS (201),2014-01-01,1,480006,2
HARRIS (201),2014-01-01,1,480007,1
HARRIS (201),2014-01-01,1,480008,1
BEXAR (29),2014-01-03,1,480019,1
HARRIS (201),2014-01-04,1,480034,1
BEXAR (29),2014-01-05,1,480039,1
HARRIS (201),2014-01-06,2,480043,2
BEXAR (29),2014-01-07,1,480045,2
HARRIS (201),2014-01-07,1,480047,2
HARRIS (201),2014-01-07,1,480048,2
BEXAR (29),2014-01-08,1,480051,1
DALLAS (113),2014-01-08,1,480053,1
HARRIS (201),2014-01-09,1,480057,1
HARRIS (201),2014-01-10,1,480063,1
DALLAS (113),2014-01-11,1,480068,3
HARRIS (201),2014-01-11,1,480069,1
HARRIS (201),2014-01-12,1,480075,1
HARRIS (201),2014-01-12,2,480076,3
DALLAS (113),2014-01-13,1,480081,1
DALLAS (113),2014-01-13,1,480082,3
HARRIS (201),2014-01-13,1,480084,1
HARRIS (201),2014-01-13,1,480085,2
BEXAR (29),2014-01-14,1,480087,1
HARRIS (201),2014-01-01,1,480100,1
HARRIS (201),2014-01-01,1,480101,3
HARRIS (201),2014-01-02,1,480103,2
HARRIS (201),2014-01-08,1,480106,1
HARRIS (201),2014-01-08,1,480107,2
BEXAR (29),2014-01-15,1,480127,1
HARRIS (201),2014-01-15,1,480129,1
DALLAS (113),2014-01-19,1,480147,1
BEXAR (29),2014-01-21,1,480157,1
DALLAS (113),2014-01-22,1,480160,1
DALLAS (113),2014-01-26,1,480173,2
DALLAS (113),2014-01-26,1,480174,1
HARRIS (201),2014-01-26,2,480175,1
BEXAR (29),2014-01-28,1,480179,1
DALLAS (113),2014-01-01,1,480182,2
HARRIS (201),2014-01-02,1,480183,2
HARRIS (201),2014-01-11,1,480184,1
BEXAR (29),2014-01-21,1,480200,1
HARRIS (201),2014-01-23,1,480206,1
HARRIS (201),2014-01-25,1,480211,1
HARRIS (201),2014-01-25,1,480215,2
BEXAR (29),2014-01-27,1,480220,4
DALLAS (113),2014-01-27,1,480221,2
DALLAS (113),2014-01-27,1,480222,1
HARRIS (201),2014-01-29,1,480231,1
HARRIS (201),2014-01-31,1,480237,1
HARRIS (201),2014-01-02,1,480239,1
DALLAS (113),2014-01-11,2,480240,2
HARRIS (201),2014-01-15,1,480241,1
HARRIS (201),2014-01-15,1,480242,1
HARRIS (201),2014-01-16,1,480243,1
HARRIS (201),2014-01-30,1,480245,2
HARRIS (201),2014-01-30,1,480246,2
BEXAR (29),2014-01-05,1,480247,2
HARRIS (201),2014-01-14,1,480248,2
HARRIS (201),2014-01-18,1,480250,1
HARRIS (201),2014-01-19,1,480251,1
HARRIS (201),2014-01-19,1,480252,2
HARRIS (201),2014-01-23,1,480254,1
HARRIS (201),2014-01-24,1,480255,1
BEXAR (29),2014-02-01,1,480257,1
BEXAR (29),2014-02-01,1,480258,2
DALLAS (113),2014-02-01,1,480260,1
HARRIS (201),2014-02-01,1,480262,1
BEXAR (29),2014-02-02,1,480268,1
HARRIS (201),2014-02-02,1,480273,2
BEXAR (29),2014-02-04,1,480279,1
BEXAR (29),2014-02-04,1,480280,1
DALLAS (113),2014-02-06,1,480293,2
BEXAR (29),2014-02-09,1,480305,2
HARRIS (201),2014-02-09,1,480306,1
HARRIS (201),2014-02-09,2,480307,2
DALLAS (113),2014-02-10,1,480309,2
HARRIS (201),2014-02-10,1,480312,1
HARRIS (201),2014-02-10,1,480313,1
HARRIS (201),2014-02-10,1,480314,1
HARRIS (201),2014-02-10,1,480315,2
HARRIS (201),2014-02-11,1,480318,1
HARRIS (201),2014-02-11,1,480319,1
HARRIS (201),2014-02-12,1,480322,1
HARRIS (201),2014-02-13,1,480324,1
