,Date,MaxTemp,MinTemp,Precipitation,County,Deaths,Case,Vehicles,City,Category
0,2014-01-01,69,31,0.0,DALLAS (113),1.0,480002.0,1.0,Dallas,Dry
1,2014-01-01,69,31,0.0,DALLAS (113),2.0,480003.0,2.0,Dallas,Dry
2,2014-01-01,69,31,0.0,DALLAS (113),1.0,480182.0,2.0,Dallas,Dry
3,2014-01-02,43,25,0.0,,,,,Dallas,Dry
4,2014-01-03,52,25,0.0,,,,,Dallas,Dry
5,2014-01-04,70,41,0.0,,,,,Dallas,Dry
6,2014-01-05,50,21,0.0,,,,,Dallas,Dry
7,2014-01-06,33,15,0.0,,,,,Dallas,Dry
8,2014-01-07,48,19,0.0,,,,,Dallas,Dry
9,2014-01-08,48,39,0.14,DALLAS (113),1.0,480053.0,1.0,Dallas,Moderate
10,2014-01-09,48,41,0.08,,,,,Dallas,Moderate
11,2014-01-10,70,47,0.11,,,,,Dallas,Moderate
12,2014-01-11,69,37,0.0,DALLAS (113),1.0,480068.0,3.0,Dallas,Dry
13,2014-01-11,69,37,0.0,DALLAS (113),2.0,480240.0,2.0,Dallas,Dry
14,2014-01-12,74,42,0.0,,,,,Dallas,Dry
15,2014-01-13,64,42,0.0,DALLAS (113),1.0,480081.0,1.0,Dallas,Dry
16,2014-01-13,64,42,0.0,DALLAS (113),1.0,480082.0,3.0,Dallas,Dry
17,2014-01-14,66,32,0.0,,,,,Dallas,Dry
18,2014-01-15,58,33,0.0,,,,,Dallas,Dry
19,2014-01-16,66,35,0.0,,,,,Dallas,Dry
20,2014-01-17,55,38,0.0,,,,,Dallas,Dry
21,2014-01-18,69,35,0.0,,,,,Dallas,Dry
22,2014-01-19,65,39,0.0,DALLAS (113),1.0,480147.0,1.0,Dallas,Dry
23,2014-01-20,73,42,0.0,,,,,Dallas,Dry
24,2014-01-21,52,36,0.0,,,,,Dallas,Dry
25,2014-01-22,60,30,0.0,DALLAS (113),1.0,480160.0,1.0,Dallas,Dry
26,2014-01-23,45,24,0.001,,,,,Dallas,Light
27,2014-01-24,43,18,0.0,,,,,Dallas,Dry
28,2014-01-25,68,26,0.0,,,,,Dallas,Dry
29,2014-01-26,74,47,0.0,DALLAS (113),1.0,480173.0,2.0,Dallas,Dry
30,2014-01-26,74,47,0.0,DALLAS (113),1.0,480174.0,1.0,Dallas,Dry
31,2014-01-27,52,25,0.0,DALLAS (113),1.0,480221.0,2.0,Dallas,Dry
32,2014-01-27,52,25,0.0,DALLAS (113),1.0,480222.0,1.0,Dallas,Dry
33,2014-01-28,36,22,0.0,,,,,Dallas,Dry
34,2014-01-29,47,16,0.0,,,,,Dallas,Dry
35,2014-01-30,60,32,0.0,,,,,Dallas,Dry
36,2014-01-31,74,52,0.0,,,,,Dallas,Dry
37,2014-02-01,66,40,0.0,DALLAS (113),1.0,480260.0,1.0,Dallas,Dry
38,2014-02-02,40,30,0.14,,,,,Dallas,Moderate
39,2014-02-03,43,30,0.0,,,,,Dallas,Dry
40,2014-02-04,48,38,0.17,,,,,Dallas,Moderate
41,2014-02-05,38,22,0.0,,,,,Dallas,Dry
42,2014-02-06,25,17,0.05,DALLAS (113),1.0,480293.0,2.0,Dallas,Moderate
43,2014-02-07,32,23,0.001,,,,,Dallas,Light
44,2014-02-08,55,32,0.0,,,,,Dallas,Dry
45,2014-02-09,47,36,0.001,,,,,Dallas,Light
46,2014-02-10,36,30,0.02,DALLAS (113),1.0,480309.0,2.0,Dallas,Light
47,2014-02-11,36,28,0.001,,,,,Dallas,Light
48,2014-02-12,51,30,0.0,,,,,Dallas,Dry
49,2014-02-13,67,30,0.0,DALLAS (113),1.0,480450.0,5.0,Dallas,Dry
50,2014-02-14,72,42,0.0,DALLAS (113),2.0,480441.0,3.0,Dallas,Dry
51,2014-02-15,70,37,0.0,DALLAS (113),1.0,480338.0,2.0,Dallas,Dry
52,2014-02-16,76,45,0.001,DALLAS (113),1.0,480345.0,1.0,Dallas,Light
53,2014-02-16,76,45,0.001,DALLAS (113),1.0,481199.0,2.0,Dallas,Light
54,2014-02-17,75,49,0.0,,,,,Dallas,Dry
55,2014-02-18,82,43,0.0,,,,,Dallas,Dry
56,2014-02-19,70,60,0.001,,,,,Dallas,Light
57,2014-02-20,74,44,0.0,,,,,Dallas,Dry
58,2014-02-21,67,34,0.0,,,,,Dallas,Dry
59,2014-02-22,75,47,0.0,DALLAS (113),1.0,480412.0,1.0,Dallas,Dry
60,2014-02-23,71,48,0.0,DALLAS (113),1.0,480414.0,2.0,Dallas,Dry
61,2014-02-23,71,48,0.0,DALLAS (113),1.0,481232.0,2.0,Dallas,Dry
62,2014-02-24,56,41,0.0,DALLAS (113),2.0,480421.0,1.0,Dallas,Dry
63,2014-02-24,56,41,0.0,DALLAS (113),1.0,480422.0,1.0,Dallas,Dry
64,2014-02-25,55,42,0.03,,,,,Dallas,Light
65,2014-02-26,43,32,0.0,,,,,Dallas,Dry
66,2014-02-27,56,25,0.0,DALLAS (113),1.0,480432.0,2.0,Dallas,Dry
