Date,MaxTemp,MinTemp,Precipitation
2014-01-01,22,10,0.25
2014-01-02,21,-1,0.22
2014-01-03,20,-12,0.0
2014-01-04,31,19,0.26
2014-01-05,29,-3,0.59
2014-01-06,-2,-16,0.0
2014-01-07,3,-12,0.0
2014-01-08,17,-6,0.0
2014-01-09,27,-4,0.01
2014-01-10,40,27,0.8
2014-01-11,40,31,0.06
2014-01-12,44,28,0.0
2014-01-13,45,27,0.0
2014-01-14,35,22,0.01
2014-01-15,22,15,0.001
2014-01-16,34,19,0.01
2014-01-17,20,12,0.04
2014-01-18,21,7,0.12
2014-01-19,37,10,0.0
2014-01-20,35,13,0.18
2014-01-21,13,0,0.07
2014-01-22,15,0,0.001
2014-01-23,10,-5,0.001
2014-01-24,28,-6,0.02
2014-01-25,33,7,0.001
2014-01-26,31,6,0.17
2014-01-27,6,-7,0.0
2014-01-28,3,-11,0.0
2014-01-29,23,1,0.0
2014-01-30,33,20,0.001
2014-01-31,28,17,0.01
2014-02-01,31,20,0.43
2014-02-02,21,-1,0.0
2014-02-03,21,-6,0.0
2014-02-04,24,7,0.08
2014-02-05,25,9,0.35
2014-02-06,14,-2,0.001
2014-02-07,11,-4,0.0
2014-02-08,16,5,0.07
2014-02-09,19,4,0.001
2014-02-10,12,-3,0.0
2014-02-11,14,-8,0.0
2014-02-12,24,-5,0.0
2014-02-13,32,10,0.001
2014-02-14,22,12,0.0
2014-02-15,24,3,0.04
2014-02-16,29,17,0.001
2014-02-17,28,23,0.35
2014-02-18,46,16,0.0
2014-02-19,44,30,0.0
2014-02-20,49,34,1.16
2014-02-21,37,26,0.001
2014-02-22,35,21,0.0
2014-02-23,28,15,0.0
2014-02-24,25,12,0.0
2014-02-25,22,6,0.0
2014-02-26,18,1,0.0
2014-02-27,18,4,0.001
2014-02-28,30,3,0.0
2014-03-01,31,11,0.29
2014-03-02,14,1,0.09
2014-03-03,19,-2,0.001
2014-03-04,27,12,0.001
2014-03-05,23,19,0.15
2014-03-06,33,16,0.0
2014-03-07,47,13,0.0
2014-03-08,38,21,0.02
2014-03-09,42,19,0.0
2014-03-10,53,40,0.0
2014-03-11,50,34,0.14
2014-03-12,34,14,0.48
2014-03-13,39,11,0.0
2014-03-14,53,37,0.0
2014-03-15,40,27,0.001
2014-03-16,27,19,0.001
2014-03-17,40,20,0.0
2014-03-18,52,27,0.001
2014-03-19,46,34,0.19
2014-03-20,47,30,0.04
2014-03-21,58,30,0.0
2014-03-22,41,26,0.0
2014-03-23,32,19,0.0
2014-03-24,36,20,0.0
2014-03-25,31,20,0.05
2014-03-26,39,15,0.0
2014-03-27,55,34,0.2
2014-03-28,55,34,0.06
2014-03-29,41,28,0.0
2014-03-30,57,25,0.0
2014-03-31,68,41,0.001
2014-04-01,57,32,0.0
2014-04-02,45,34,0.001
2014-04-03,43,35,0.53
2014-04-04,48,34,0.001
2014-04-05,51,31,0.0
2014-04-06,57,31,0.0
2014-04-07,54,36,0.0
2014-04-08,60,40,0.02
2014-04-09,62,33,0.0
2014-04-10,66,41,0.001
2014-04-11,70,37,0.0
2014-04-12,80,44,0.0
2014-04-13,69,42,0.43
2014-04-14,63,30,0.3
2014-04-15,38,26,0.001
2014-04-16,52,26,0.0
2014-04-17,62,40,0.0
2014-04-18,51,38,0.0
2014-04-19,66,37,0.0
2014-04-20,79,41,0.0
2014-04-21,74,58,0.001
2014-04-22,61,36,0.0
2014-04-23,51,33,0.02
2014-04-24,64,39,0.06
2014-04-25,70,45,0.22
2014-04-26,57,40,0.0
2014-04-27,60,42,0.03
2014-04-28,55,45,0.61
2014-04-29,59,47,0.61
2014-04-30,53,43,0.01
2014-05-01,49,42,0.09
2014-05-02,53,46,0.001
2014-05-03,67,46,0.0
2014-05-04,58,44,0.0
2014-05-05,55,43,0.05
2014-05-06,63,41,0.0
2014-05-07,78,48,0.001
2014-05-08,89,51,0.1
2014-05-09,73,54,1.03
2014-05-10,77,47,0.0
2014-05-11,81,52,0.12
2014-05-12,84,64,2.09
2014-05-13,67,52,0.12
2014-05-14,56,44,0.02
2014-05-15,55,40,0.19
2014-05-16,46,37,0.1
2014-05-17,60,39,0.0
2014-05-18,69,47,0.0
2014-05-19,69,45,0.001
2014-05-20,85,62,0.82
2014-05-21,86,63,0.01
2014-05-22,70,53,0.0
2014-05-23,69,48,0.0
2014-05-24,74,47,0.0
2014-05-25,83,50,0.0
2014-05-26,87,61,0.0
2014-05-27,85,58,0.21
2014-05-28,71,56,0.03
2014-05-29,76,54,0.0
2014-05-30,79,53,0.0
2014-05-31,88,54,0.0
2014-06-01,90,63,0.001
2014-06-02,83,68,0.14
2014-06-03,81,66,0.0
2014-06-04,70,55,0.19
2014-06-05,76,52,0.0
2014-06-06,81,49,0.0
2014-06-07,84,57,0.08
2014-06-08,72,54,0.23
2014-06-09,78,55,0.0
2014-06-10,66,56,1.26
2014-06-11,67,57,0.52
2014-06-12,79,58,0.001
2014-06-13,75,55,0.0
2014-06-14,79,52,0.0
2014-06-15,84,60,0.0
2014-06-16,88,67,0.0
2014-06-17,91,77,0.001
2014-06-18,82,61,0.65
2014-06-19,79,59,0.32
2014-06-20,85,63,0.01
2014-06-21,84,60,1.28
2014-06-22,82,63,0.0
2014-06-23,81,66,0.05
2014-06-24,87,70,0.41
2014-06-25,80,59,0.001
2014-06-26,78,59,0.0
2014-06-27,88,59,0.001
2014-06-28,87,71,0.0
2014-06-29,85,69,0.07
2014-06-30,87,67,2.6
2014-07-01,80,67,0.001
2014-07-02,70,56,0.12
2014-07-03,76,56,0.07
2014-07-04,79,58,0.0
2014-07-05,77,60,0.001
2014-07-06,87,63,0.0
2014-07-07,88,71,0.63
2014-07-08,81,66,0.54
2014-07-09,80,62,0.0
2014-07-10,79,60,0.0
2014-07-11,81,60,0.01
2014-07-12,80,70,0.47
2014-07-13,85,68,0.01
2014-07-14,80,61,0.2
2014-07-15,70,55,0.05
2014-07-16,72,55,0.0
2014-07-17,78,54,0.0
2014-07-18,79,59,0.0
2014-07-19,80,57,0.0
2014-07-20,82,60,0.0
2014-07-21,86,63,0.0
2014-07-22,90,69,0.01
2014-07-23,75,59,0.0
2014-07-24,75,57,0.0
2014-07-25,75,55,0.001
2014-07-26,84,68,0.0
2014-07-27,87,65,0.02
2014-07-28,73,59,0.0
2014-07-29,81,58,0.01
2014-07-30,79,59,0.0
2014-07-31,84,59,0.0
2014-08-01,85,62,0.15
2014-08-02,86,59,0.0
2014-08-03,87,62,0.0
2014-08-04,87,67,2.76
2014-08-05,80,64,0.001
2014-08-06,80,62,0.0
2014-08-07,81,61,0.0
2014-08-08,82,66,0.0
2014-08-09,80,66,0.0
2014-08-10,81,69,0.0
2014-08-11,82,67,0.85
2014-08-12,70,61,0.07
2014-08-13,82,57,0.0
2014-08-14,72,57,0.0
2014-08-15,78,52,0.0
2014-08-16,82,62,0.0
2014-08-17,71,64,0.001
2014-08-18,83,65,0.0
2014-08-19,86,69,0.09
2014-08-20,86,66,0.0
2014-08-21,79,70,0.98
2014-08-22,86,72,1.58
2014-08-23,86,68,0.34
2014-08-24,88,70,0.0
2014-08-25,88,71,0.01
2014-08-26,85,71,0.12
2014-08-27,82,67,0.0
2014-08-28,77,67,0.001
2014-08-29,86,71,0.08
2014-08-30,83,70,0.27
2014-08-31,85,68,0.0
2014-09-01,83,70,0.36
2014-09-02,82,67,0.01
2014-09-03,83,61,0.0
2014-09-04,85,71,0.26
2014-09-05,88,64,0.5
2014-09-06,75,60,0.0
2014-09-07,80,54,0.0
2014-09-08,77,55,0.0
2014-09-09,79,63,0.01
2014-09-10,80,56,1.31
2014-09-11,56,50,0.0
2014-09-12,55,44,0.13
2014-09-13,59,41,0.0
2014-09-14,65,42,0.0
2014-09-15,62,51,0.001
2014-09-16,68,44,0.0
2014-09-17,70,48,0.0
2014-09-18,70,53,0.0
2014-09-19,78,53,0.0
2014-09-20,77,63,0.12
2014-09-21,69,51,0.001
2014-09-22,67,46,0.0
2014-09-23,74,51,0.0
2014-09-24,77,54,0.0
2014-09-25,74,56,0.0
2014-09-26,79,51,0.0
2014-09-27,79,54,0.0
2014-09-28,78,53,0.0
2014-09-29,83,53,0.01
2014-09-30,58,47,0.001
2014-10-01,70,49,0.0
2014-10-02,72,63,0.32
2014-10-03,65,43,0.68
2014-10-04,47,35,0.06
2014-10-05,55,37,0.01
2014-10-06,61,42,0.01
2014-10-07,66,48,0.001
2014-10-08,65,44,0.0
2014-10-09,62,43,0.0
2014-10-10,58,39,0.0
2014-10-11,59,36,0.0
2014-10-12,63,38,0.01
2014-10-13,67,56,0.64
2014-10-14,65,52,0.65
2014-10-15,55,50,0.05
2014-10-16,56,50,0.001
2014-10-17,62,48,0.001
2014-10-18,50,36,0.01
2014-10-19,54,33,0.0
2014-10-20,65,46,0.01
2014-10-21,53,45,0.0
2014-10-22,56,35,0.0
2014-10-23,59,36,0.0
2014-10-24,67,52,0.0
2014-10-25,72,49,0.0
2014-10-26,64,42,0.0
2014-10-27,77,51,0.0
2014-10-28,68,45,0.001
2014-10-29,49,36,0.0
2014-10-30,51,32,0.0
2014-10-31,47,33,0.03
2014-11-01,43,29,0.0
2014-11-02,51,25,0.0
2014-11-03,62,43,0.0
2014-11-04,60,44,0.001
2014-11-05,60,34,0.001
2014-11-06,51,38,0.001
2014-11-07,43,29,0.0
2014-11-08,47,36,0.01
2014-11-09,52,35,0.001
2014-11-10,62,41,0.0
2014-11-11,58,31,0.21
2014-11-12,31,24,0.001
2014-11-13,29,24,0.001
2014-11-14,27,21,0.001
2014-11-15,31,17,0.04
2014-11-16,31,18,0.01
2014-11-17,21,11,0.001
2014-11-18,19,9,0.001
2014-11-19,32,17,0.001
2014-11-20,27,14,0.0
2014-11-21,35,7,0.0
2014-11-22,52,33,0.07
2014-11-23,52,48,0.63
2014-11-24,49,24,0.43
2014-11-25,26,18,0.01
2014-11-26,29,17,0.001
2014-11-27,27,15,0.001
2014-11-28,34,18,0.001
2014-11-29,51,29,0.0
2014-11-30,50,24,0.001
2014-12-01,25,18,0.0
2014-12-02,34,18,0.001
2014-12-03,37,24,0.0
2014-12-04,35,23,0.0
2014-12-05,40,32,0.0
2014-12-06,40,26,0.0
2014-12-07,36,26,0.0
2014-12-08,37,32,0.2
2014-12-09,38,31,0.001
2014-12-10,33,28,0.001
2014-12-11,32,23,0.0
2014-12-12,37,23,0.001
2014-12-13,47,35,0.0
2014-12-14,50,45,0.001
2014-12-15,46,42,0.06
2014-12-16,45,29,0.02
2014-12-17,29,24,0.001
2014-12-18,28,19,0.0
2014-12-19,32,27,0.001
2014-12-20,33,28,0.001
2014-12-21,36,31,0.001
2014-12-22,41,28,0.32
2014-12-23,48,38,0.19
2014-12-24,40,36,0.001
2014-12-25,42,33,0.0
2014-12-26,50,36,0.0
2014-12-27,49,31,0.001
2014-12-28,35,22,0.0
2014-12-29,30,19,0.0
2014-12-30,20,9,0.0
2014-12-31,18,4,0.0
2015-01-01,32,14,0.0
2015-01-02,34,15,0.0
2015-01-03,34,29,0.57
2015-01-04,33,2,0.13
2015-01-05,6,-3,0.15
2015-01-06,10,-5,0.01
2015-01-07,6,-6,0.0
2015-01-08,18,-8,0.06
2015-01-09,11,0,0.001
2015-01-10,24,-2,0.0
2015-01-11,32,22,0.19
2015-01-12,28,15,0.001
2015-01-13,19,3,0.001
2015-01-14,19,1,0.001
2015-01-15,34,17,0.0
2015-01-16,34,23,0.0
2015-01-17,42,26,0.0
2015-01-18,40,27,0.001
2015-01-19,41,25,0.001
2015-01-20,36,29,0.001
2015-01-21,33,29,0.01
2015-01-22,31,28,0.0
2015-01-23,31,29,0.0
2015-01-24,43,29,0.0
2015-01-25,34,24,0.08
2015-01-26,26,15,0.07
2015-01-27,32,20,0.001
2015-01-28,34,19,0.01
2015-01-29,35,28,0.01
2015-01-30,30,18,0.001
2015-01-31,36,19,0.12
2015-02-01,31,19,0.87
2015-02-02,19,6,0.05
2015-02-03,26,2,0.09
2015-02-04,25,4,0.02
2015-02-05,15,-2,0.0
2015-02-06,31,13,0.0
2015-02-07,41,18,0.0
2015-02-08,39,25,0.01
2015-02-09,27,19,0.001
2015-02-10,33,14,0.0
2015-02-11,35,18,0.001
2015-02-12,18,8,0.001
2015-02-13,26,5,0.001
2015-02-14,27,1,0.001
2015-02-15,15,-3,0.03
2015-02-16,18,5,0.0
2015-02-17,19,8,0.001
2015-02-18,8,-3,0.001
2015-02-19,4,-8,0.0
2015-02-20,18,-7,0.01
2015-02-21,32,17,0.001
2015-02-22,28,2,0.001
2015-02-23,12,-4,0.0
2015-02-24,29,4,0.01
2015-02-25,26,10,0.17
2015-02-26,19,0,0.17
2015-02-27,14,-2,0.0
2015-02-28,21,-10,0.02
2015-03-01,25,10,0.001
2015-03-02,33,13,0.0
2015-03-03,34,24,0.13
2015-03-04,31,10,0.0
2015-03-05,16,3,0.0
2015-03-06,27,0,0.0
2015-03-07,44,24,0.0
2015-03-08,40,28,0.0
2015-03-09,50,25,0.0
2015-03-10,51,35,0.0
2015-03-11,51,30,0.0
2015-03-12,56,28,0.0
2015-03-13,65,37,0.0
2015-03-14,60,37,0.0
2015-03-15,62,29,0.0
2015-03-16,73,42,0.0
2015-03-17,45,28,0.0
2015-03-18,50,28,0.0
