Date,MaxTemp,MinTemp,Precipitation
2014-01-01,65,46,0.001
2014-01-02,59,37,0.01
2014-01-03,54,31,0.0
2014-01-04,66,35,0.0
2014-01-05,65,35,0.05
2014-01-06,36,27,0.0
2014-01-07,45,21,0.0
2014-01-08,56,40,0.001
2014-01-09,69,51,0.27
2014-01-10,70,57,0.001
2014-01-11,74,45,0.0
2014-01-12,74,38,0.001
2014-01-13,71,45,0.24
2014-01-14,70,35,0.0
2014-01-15,59,36,0.0
2014-01-16,70,33,0.0
2014-01-17,63,39,0.0
2014-01-18,69,32,0.0
2014-01-19,69,40,0.0
2014-01-20,77,38,0.0
2014-01-21,62,38,0.0
2014-01-22,69,29,0.0
2014-01-23,56,33,0.3
2014-01-24,36,28,0.04
2014-01-25,61,29,0.0
2014-01-26,71,45,0.0
2014-01-27,61,49,0.0
2014-01-28,49,30,0.05
2014-01-29,42,29,0.0
2014-01-30,58,22,0.0
2014-01-31,72,57,0.0
2014-02-01,73,62,0.02
2014-02-02,66,40,0.27
2014-02-03,50,39,0.0
2014-02-04,52,42,0.22
2014-02-05,51,38,0.0
2014-02-06,39,33,0.01
2014-02-07,39,35,0.001
2014-02-08,57,38,0.001
2014-02-09,66,47,0.0
2014-02-10,59,39,0.63
2014-02-11,42,35,0.05
2014-02-12,51,34,0.001
2014-02-13,62,29,0.0
2014-02-14,78,39,0.0
2014-02-15,68,41,0.0
2014-02-16,76,51,0.0
2014-02-17,79,65,0.0
2014-02-18,80,66,0.0
2014-02-19,79,62,0.0
2014-02-20,78,58,0.06
2014-02-21,69,44,0.0
2014-02-22,69,45,0.0
2014-02-23,78,60,0.04
2014-02-24,66,61,0.001
2014-02-25,78,58,0.7
2014-02-26,58,37,0.37
2014-02-27,56,33,0.0
2014-02-28,73,39,0.02
2014-03-01,83,64,0.0
2014-03-02,77,34,0.03
2014-03-03,42,27,0.03
2014-03-04,38,31,1.03
2014-03-05,53,37,0.02
2014-03-06,61,44,0.0
2014-03-07,66,37,0.0
2014-03-08,69,51,0.11
2014-03-09,58,46,0.43
2014-03-10,73,48,0.0
2014-03-11,75,56,0.0
2014-03-12,68,49,0.0
2014-03-13,67,38,0.0
2014-03-14,75,47,0.0
