Date,MaxTemp,MinTemp,Precipitation
2014-01-01, 64,46,0.0
2014-01-02, 78,50,0.0
2014-01-03, 64,47,0.0
2014-01-04, 65,50,0.0
2014-01-05, 76,47,0.0
2014-01-06, 78,50,0.0
2014-01-07, 69,51,0.0
2014-01-08, 66,49,0.0
2014-01-09, 60,50,0.0
2014-01-10, 65,48,0.0
2014-01-11, 67,47,0.0
2014-01-12, 69,51,0.0
2014-01-13, 83,46,0.0
2014-01-14, 79,50,0.0
2014-01-15, 83,52,0.0
2014-01-16, 84,54,0.0
2014-01-17, 87,53,0.0
2014-01-18, 83,51,0.0
2014-01-19, 76,49,0.0
2014-01-20, 78,49,0.0
2014-01-21, 76,51,0.0
2014-01-22, 73,53,0.0
2014-01-23, 68,51,0.0
2014-01-24, 73,56,0.0
2014-01-25, 75,58,0.0
2014-01-26, 66,53,0.001
2014-01-27, 65,54,0.0
2014-01-28, 64,50,0.0
2014-01-29, 62,52,0.0
2014-01-30, 62,57,0.001
2014-01-31, 63,56,0.001
2014-02-01, 68,53,0.0
2014-02-02, 62,46,0.09
2014-02-03, 60,46,0.001
2014-02-04, 62,48,0.0
2014-02-05, 63,50,0.0
2014-02-06, 60,53,0.14
2014-02-07, 61,51,0.001
2014-02-08, 62,53,0.0
2014-02-09, 66,56,0.0
2014-02-10, 66,54,0.0
2014-02-11, 68,53,0.0
2014-02-12, 74,51,0.0
2014-02-13, 72,53,0.0
2014-02-14, 72,51,0.0
2014-02-15, 73,52,0.0
2014-02-16, 71,55,0.0
2014-02-17, 63,52,0.0
2014-02-18, 63,55,0.0
2014-02-19, 66,55,0.0
2014-02-20, 78,50,0.0
2014-02-21, 74,56,0.0
2014-02-22, 70,52,0.0
2014-02-23, 67,50,0.0
2014-02-24, 65,53,0.0
2014-02-25, 67,55,0.0
2014-02-26, 66,57,0.06
2014-02-27, 67,57,0.94
2014-02-28, 64,57,1.56
2014-03-01, 65,53,0.35
2014-03-02, 63,54,0.001
2014-03-03, 64,52,0.0
2014-03-04, 65,54,0.0
2014-03-05, 65,55,0.0
2014-03-06, 68,57,0.0
2014-03-07, 68,55,0.0
2014-03-08, 76,53,0.0
2014-03-09, 85,61,0.0
2014-03-10, 75,58,0.0
2014-03-11, 76,55,0.0
2014-03-12, 81,55,0.0
2014-03-13, 67,58,0.0
2014-03-14, 66,53,0.0
2014-03-15, 72,55,0.0
2014-03-16, 83,56,0.0
2014-03-17, 71,56,0.0
2014-03-18, 70,58,0.0
2014-03-19, 70,57,0.0
2014-03-20, 68,57,0.0
2014-03-21, 66,57,0.0
2014-03-22, 65,58,0.0
2014-03-23, 65,55,0.0
2014-03-24, 65,59,0.0
2014-03-25, 65,58,0.0
2014-03-26, 66,57,0.01
2014-03-27, 65,53,0.0
2014-03-28, 67,53,0.0
2014-03-29, 70,55,0.0
2014-03-30, 67,56,0.0
2014-03-31, 64,51,0.0
2014-04-01, 62,52,0.12
2014-04-02, 62,50,0.05
2014-04-03, 64,49,0.0
2014-04-04, 62,53,0.0
2014-04-05, 65,52,0.0
2014-04-06, 71,52,0.0
2014-04-07, 81,56,0.0
2014-04-08, 80,58,0.0
2014-04-09, 76,54,0.0
2014-04-10, 65,53,0.0
2014-04-11, 70,56,0.0
2014-04-12, 65,56,0.0
2014-04-13, 64,56,0.0
2014-04-14, 68,56,0.0
2014-04-15, 62,56,0.0
2014-04-16, 67,58,0.0
2014-04-17, 69,58,0.0
2014-04-18, 72,60,0.0
2014-04-19, 67,58,0.0
2014-04-20, 69,57,0.0
2014-04-21, 68,58,0.0
2014-04-22, 67,57,0.0
2014-04-23, 69,56,0.0
2014-04-24, 73,56,0.0
2014-04-25, 70,55,0.09
2014-04-26, 66,54,0.0
2014-04-27, 67,53,0.0
2014-04-28, 75,55,0.0
2014-04-29, 88,58,0.0
2014-04-30, 89,63,0.0
2014-05-01, 89,64,0.0
2014-05-02, 90,64,0.0
2014-05-03, 82,62,0.0
2014-05-04, 74,59,0.0
2014-05-05, 70,58,0.0
2014-05-06, 66,54,0.0
2014-05-07, 66,55,0.0
2014-05-08, 68,56,0.0
2014-05-09, 68,56,0.0
2014-05-10, 70,57,0.0
2014-05-11, 87,62,0.0
2014-05-12, 87,58,0.0
2014-05-13, 93,64,0.0
2014-05-14, 96,65,0.0
2014-05-15, 97,70,0.0
2014-05-16, 91,67,0.0
2014-05-17, 77,63,0.0
2014-05-18, 71,63,0.0
2014-05-19, 72,60,0.0
2014-05-20, 69,59,0.0
2014-05-21, 70,57,0.0
2014-05-22, 69,59,0.0
2014-05-23, 69,62,0.0
2014-05-24, 69,63,0.0
2014-05-25, 72,63,0.0
2014-05-26, 73,63,0.0
2014-05-27, 74,64,0.0
2014-05-28, 73,65,0.0
2014-05-29, 74,64,0.0
2014-05-30, 74,62,0.0
2014-05-31, 74,61,0.0
2014-06-01, 72,61,0.0
2014-06-02, 69,60,0.0
2014-06-03, 73,59,0.0
2014-06-04, 72,60,0.0
2014-06-05, 71,61,0.0
2014-06-06, 70,61,0.0
2014-06-07, 70,61,0.0
2014-06-08, 72,60,0.0
2014-06-09, 69,59,0.0
2014-06-10, 71,63,0.0
2014-06-11, 72,63,0.0
2014-06-12, 71,62,0.0
2014-06-13, 70,62,0.0
2014-06-14, 71,62,0.0
2014-06-15, 72,63,0.0
2014-06-16, 71,62,0.0
2014-06-17, 73,61,0.0
2014-06-18, 72,61,0.0
2014-06-19, 72,62,0.0
2014-06-20, 74,64,0.0
2014-06-21, 75,64,0.0
2014-06-22, 73,65,0.0
2014-06-23, 74,65,0.0
2014-06-24, 74,65,0.0
2014-06-25, 73,65,0.0
2014-06-26, 74,66,0.0
2014-06-27, 76,66,0.0
2014-06-28, 76,67,0.0
2014-06-29, 76,67,0.0
2014-06-30, 75,66,0.0
2014-07-01, 75,66,0.0
2014-07-02, 75,65,0.0
2014-07-03, 76,66,0.0
2014-07-04, 78,66,0.0
2014-07-05, 80,69,0.0
2014-07-06, 80,68,0.0
2014-07-07, 77,68,0.0
