Date,MaxTemp,MinTemp,Precipitation
2014-01-01,33,24,0.0
2014-01-02,33,18,0.33
2014-01-03,18,9,0.29
2014-01-04,29,8,0.0
2014-01-05,40,27,0.14
2014-01-06,55,19,0.36
2014-01-07,19,4,0.0
2014-01-08,22,9,0.0
2014-01-09,32,22,0.0
2014-01-10,37,30,0.11
2014-01-11,58,37,0.5
2014-01-12,54,38,0.05
2014-01-13,51,37,0.0
2014-01-14,52,44,0.38
2014-01-15,47,39,0.0
2014-01-16,42,36,0.0
2014-01-17,44,33,0.0
2014-01-18,41,29,0.07
2014-01-19,38,24,0.0
2014-01-20,46,31,0.0
2014-01-21,31,11,0.46
2014-01-22,17,5,0.02
2014-01-23,20,7,0.0
2014-01-24,20,10,0.0
2014-01-25,28,19,0.04
2014-01-26,34,17,0.0
2014-01-27,44,21,0.0
2014-01-28,21,12,0.0
2014-01-29,23,14,0.04
2014-01-30,30,16,0.0
2014-01-31,39,25,0.0
2014-02-01,45,36,0.0
2014-02-02,56,39,0.001
2014-02-03,43,27,1.17
2014-02-04,35,22,0.0
2014-02-05,34,29,1.43
2014-02-06,32,21,0.0
2014-02-07,32,24,0.0
2014-02-08,29,21,0.0
2014-02-09,31,21,0.1
2014-02-10,29,21,0.0
2014-02-11,26,16,0.0
2014-02-12,25,13,0.0
2014-02-13,36,24,1.78
2014-02-14,40,31,0.3
2014-02-15,37,27,0.13
2014-02-16,30,21,0.0
2014-02-17,32,18,0.0
2014-02-18,39,26,0.16
2014-02-19,45,34,0.26
2014-02-20,51,37,0.03
2014-02-21,49,36,0.09
2014-02-22,54,40,0.0
2014-02-23,54,43,0.001
2014-02-24,44,27,0.0
2014-02-25,33,24,0.0
2014-02-26,31,20,0.03
2014-02-27,34,14,0.0
2014-02-28,24,9,0.0
2014-03-01,37,20,0.0
2014-03-02,40,32,0.001
2014-03-03,32,17,0.04
2014-03-04,29,13,0.0
2014-03-05,39,26,0.0
2014-03-06,31,16,0.0
2014-03-07,37,26,0.0
2014-03-08,57,35,0.0
2014-03-09,44,36,0.0
2014-03-10,51,36,0.001
2014-03-11,66,45,0.0
2014-03-12,56,32,0.35
2014-03-13,32,18,0.0
2014-03-14,46,22,0.0
2014-03-15,58,42,0.0
2014-03-16,42,30,0.0
2014-03-17,35,23,0.0
2014-03-18,43,28,0.0
2014-03-19,46,32,0.92
2014-03-20,54,40,0.0
2014-03-21,51,39,0.0
2014-03-22,63,41,0.0
2014-03-23,42,27,0.0
2014-03-24,35,21,0.0
2014-03-25,39,26,0.0
2014-03-26,36,24,0.0
2014-03-27,44,22,0.0
2014-03-28,62,37,0.04
2014-03-29,59,43,1.81
2014-03-30,49,39,0.35
2014-03-31,56,36,0.16
2014-04-01,60,39,0.0
2014-04-02,54,42,0.0
2014-04-03,67,46,0.07
2014-04-04,47,40,0.21
2014-04-05,54,40,0.0
2014-04-06,61,36,0.0
2014-04-07,53,43,0.52
2014-04-08,64,46,0.34
2014-04-09,61,45,0.0
2014-04-10,58,42,0.0
2014-04-11,75,56,0.0
2014-04-12,73,50,0.0
2014-04-13,77,54,0.0
2014-04-14,75,59,0.0
2014-04-15,63,33,0.71
2014-04-16,49,31,0.05
2014-04-17,48,36,0.0
2014-04-18,49,35,0.0
2014-04-19,68,41,0.0
2014-04-20,60,45,0.0
2014-04-21,67,41,0.0
2014-04-22,71,51,0.01
2014-04-23,61,44,0.0
2014-04-24,62,42,0.0
2014-04-25,63,44,0.02
2014-04-26,67,46,0.92
2014-04-27,59,47,0.0
2014-04-28,67,45,0.0
2014-04-29,52,43,0.03
2014-04-30,52,41,4.97
2014-05-01,78,51,0.12
2014-05-02,70,56,0.001
2014-05-03,71,54,0.08
2014-05-04,65,54,0.02
2014-05-05,70,50,0.0
2014-05-06,71,52,0.0
2014-05-07,69,50,0.0
2014-05-08,59,53,0.41
2014-05-09,63,55,0.04
2014-05-10,83,57,0.37
2014-05-11,82,60,0.03
2014-05-12,85,64,0.0
2014-05-13,73,53,0.0
2014-05-14,71,52,0.01
2014-05-15,71,58,0.15
2014-05-16,68,58,1.54
2014-05-17,70,53,0.0
2014-05-18,67,51,0.0
2014-05-19,72,49,0.0
2014-05-20,78,53,0.0
2014-05-21,74,63,0.0
2014-05-22,67,59,0.24
2014-05-23,71,56,0.91
2014-05-24,70,57,0.4
2014-05-25,80,55,0.0
