Date,MaxTemp,MinTemp,Precipitation
2014-01-01,41,23,0.0
2014-01-02,35,22,0.4
2014-01-03,22,11,0.3
2014-01-04,29,8,0.0
2014-01-05,53,18,0.18
2014-01-06,60,13,0.35
2014-01-07,13,4,0.0
2014-01-08,26,10,0.0
2014-01-09,35,24,0.0
2014-01-10,37,27,0.42
2014-01-11,61,36,0.76
2014-01-12,52,33,0.01
2014-01-13,57,28,0.0
2014-01-14,51,37,0.17
2014-01-15,48,35,0.001
2014-01-16,39,27,0.001
2014-01-17,45,25,0.0
2014-01-18,39,23,0.001
2014-01-19,42,21,0.0
2014-01-20,51,33,0.0
2014-01-21,38,14,0.7
2014-01-22,16,4,0.01
2014-01-23,22,8,0.0
2014-01-24,19,8,0.0
2014-01-25,27,19,0.15
2014-01-26,31,15,0.03
2014-01-27,46,21,0.0
2014-01-28,21,12,0.001
2014-01-29,21,12,0.07
2014-01-30,28,10,0.0
2014-01-31,46,20,0.0
2014-02-01,48,30,0.0
2014-02-02,53,29,0.0
2014-02-03,45,31,1.15
2014-02-04,35,24,0.01
2014-02-05,38,31,1.43
2014-02-06,32,24,0.0
2014-02-07,35,22,0.0
2014-02-08,30,24,0.001
2014-02-09,31,22,0.15
2014-02-10,29,18,0.0
2014-02-11,27,16,0.0
2014-02-12,27,12,0.05
2014-02-13,36,24,1.25
2014-02-14,44,31,0.21
2014-02-15,37,29,0.1
2014-02-16,30,21,0.0
2014-02-17,34,19,0.0
2014-02-18,45,26,0.21
2014-02-19,46,27,0.36
2014-02-20,52,29,0.0
2014-02-21,63,35,0.11
2014-02-22,59,31,0.0
2014-02-23,57,38,0.001
2014-02-24,40,31,0.001
2014-02-25,35,26,0.001
2014-02-26,33,20,0.09
2014-02-27,35,16,0.001
2014-02-28,26,10,0.0
2014-03-01,40,17,0.0
2014-03-02,42,31,0.04
2014-03-03,34,16,0.34
2014-03-04,29,12,0.0
2014-03-05,42,19,0.0
2014-03-06,34,21,0.0
2014-03-07,40,27,0.0
2014-03-08,58,35,0.0
2014-03-09,48,38,0.01
2014-03-10,56,36,0.0
2014-03-11,65,38,0.0
2014-03-12,69,28,0.28
2014-03-13,33,21,0.0
2014-03-14,51,24,0.0
2014-03-15,63,45,0.001
2014-03-16,45,31,0.001
2014-03-17,32,23,0.23
2014-03-18,46,30,0.0
2014-03-19,48,35,0.67
2014-03-20,56,38,0.0
2014-03-21,55,34,0.0
2014-03-22,68,35,0.0
2014-03-23,49,29,0.0
2014-03-24,36,23,0.0
2014-03-25,40,26,0.01
2014-03-26,37,28,0.001
2014-03-27,45,23,0.0
2014-03-28,65,36,0.02
2014-03-29,55,45,1.72
2014-03-30,49,38,0.9
2014-03-31,60,37,0.01
2014-04-01,61,37,0.0
2014-04-02,61,41,0.001
2014-04-03,66,45,0.05
2014-04-04,51,44,0.02
2014-04-05,56,42,0.0
2014-04-06,59,35,0.0
2014-04-07,53,37,0.38
2014-04-08,66,49,0.17
2014-04-09,66,42,0.0
2014-04-10,68,40,0.0
2014-04-11,79,53,0.001
2014-04-12,73,54,0.0
2014-04-13,82,51,0.0
2014-04-14,79,62,0.0
2014-04-15,69,37,0.76
2014-04-16,49,31,0.0
2014-04-17,53,37,0.0
2014-04-18,55,39,0.0
2014-04-19,68,42,0.0
2014-04-20,60,41,0.0
2014-04-21,69,39,0.0
2014-04-22,76,48,0.001
2014-04-23,61,47,0.0
2014-04-24,64,41,0.0
2014-04-25,67,43,0.49
2014-04-26,72,48,0.01
2014-04-27,63,46,0.0
2014-04-28,64,44,0.001
2014-04-29,50,45,0.39
2014-04-30,65,44,4.42
2014-05-01,79,62,0.04
2014-05-02,69,56,0.0
2014-05-03,70,51,0.09
2014-05-04,66,50,0.001
2014-05-05,69,49,0.0
2014-05-06,73,50,0.0
2014-05-07,66,50,0.001
2014-05-08,70,55,0.03
2014-05-09,77,57,0.0
2014-05-10,84,62,0.1
2014-05-11,78,60,0.0
2014-05-12,86,58,0.0
2014-05-13,76,54,0.001
2014-05-14,71,54,0.0
2014-05-15,83,60,0.0
2014-05-16,71,59,1.57
2014-05-17,69,53,0.0
2014-05-18,68,50,0.0
2014-05-19,74,49,0.0
2014-05-20,77,54,0.001
2014-05-21,68,62,0.04
2014-05-22,79,62,0.08
2014-05-23,76,59,0.001
2014-05-24,76,57,0.001
2014-05-25,82,55,0.0
2014-05-26,87,62,0.0
2014-05-27,88,66,0.35
2014-05-28,74,55,0.61
2014-05-29,60,54,0.001
2014-05-30,75,55,0.0
2014-05-31,77,57,0.0
2014-06-01,78,54,0.0
2014-06-02,81,56,0.0
2014-06-03,89,64,0.01
2014-06-04,87,66,0.001
2014-06-05,79,63,0.45
2014-06-06,77,60,0.0
2014-06-07,84,62,0.0
2014-06-08,84,64,0.001
2014-06-09,82,67,0.32
2014-06-10,86,70,2.59
2014-06-11,72,63,0.06
2014-06-12,75,63,0.26
2014-06-13,86,70,0.53
2014-06-14,76,63,0.0
2014-06-15,83,58,0.0
2014-06-16,88,62,0.0
2014-06-17,93,71,0.001
2014-06-18,94,78,0.0
2014-06-19,81,70,0.53
2014-06-20,82,63,0.0
2014-06-21,79,68,0.0
2014-06-22,83,65,0.001
2014-06-23,83,63,0.0
2014-06-24,86,65,0.0
2014-06-25,90,71,0.64
2014-06-26,87,71,0.07
2014-06-27,84,69,0.0
2014-06-28,87,66,0.0
2014-06-29,86,65,0.0
2014-06-30,88,68,0.0
2014-07-01,93,72,0.0
2014-07-02,96,75,0.21
2014-07-03,92,74,0.09
2014-07-04,78,68,0.04
2014-07-05,83,64,0.0
2014-07-06,86,64,0.0
2014-07-07,93,74,0.0
2014-07-08,95,72,0.17
2014-07-09,89,71,0.001
2014-07-10,87,74,0.0
2014-07-11,90,70,0.001
2014-07-12,89,70,0.0
2014-07-13,91,72,0.05
2014-07-14,90,74,1.18
2014-07-15,91,73,0.81
2014-07-16,83,72,0.001
2014-07-17,84,65,0.0
2014-07-18,84,65,0.0
2014-07-19,81,68,0.001
2014-07-20,82,69,0.001
2014-07-21,86,66,0.0
2014-07-22,88,70,0.0
2014-07-23,93,72,0.05
2014-07-24,83,70,0.001
2014-07-25,84,63,0.0
2014-07-26,81,69,0.22
2014-07-27,91,70,1.25
2014-07-28,84,69,0.23
2014-07-29,76,64,0.0
2014-07-30,80,62,0.0
2014-07-31,86,65,0.0
2014-08-01,83,70,0.19
2014-08-02,77,68,0.36
2014-08-03,77,67,0.23
2014-08-04,84,71,0.0
2014-08-05,90,69,0.0
2014-08-06,82,69,0.001
2014-08-07,84,66,0.0
2014-08-08,82,63,0.0
2014-08-09,86,67,0.0
