Date,MaxTemp,MinTemp,Precipitation
2014-01-01,70,43,0.0
2014-01-02,77,44,0.0
2014-01-03,74,48,0.0
2014-01-04,68,48,0.0
2014-01-05,67,42,0.0
2014-01-06,68,39,0.0
2014-01-07,69,42,0.0
2014-01-08,69,43,0.0
2014-01-09,68,45,0.0
2014-01-10,67,42,0.0
2014-01-11,71,43,0.0
2014-01-12,69,46,0.0
2014-01-13,71,41,0.0
2014-01-14,74,41,0.0
2014-01-15,77,44,0.0
2014-01-16,76,44,0.0
2014-01-17,79,44,0.0
2014-01-18,75,47,0.0
2014-01-19,76,47,0.0
2014-01-20,77,47,0.0
2014-01-21,81,46,0.0
2014-01-22,78,53,0.0
2014-01-23,76,47,0.0
2014-01-24,70,58,0.0
2014-01-25,75,58,0.0
2014-01-26,73,50,0.0
2014-01-27,75,56,0.0
2014-01-28,73,47,0.0
2014-01-29,75,47,0.0
2014-01-30,77,52,0.0
2014-01-31,70,55,0.0
2014-02-01,66,52,0.0
2014-02-02,65,42,0.0
2014-02-03,61,48,0.0
2014-02-04,64,41,0.0
2014-02-05,66,51,0.0
2014-02-06,62,47,0.0
2014-02-07,69,50,0.0
2014-02-08,72,50,0.0
2014-02-09,77,50,0.0
2014-02-10,78,52,0.0
2014-02-11,78,51,0.0
2014-02-12,79,50,0.0
2014-02-13,82,52,0.0
2014-02-14,85,54,0.0
2014-02-15,86,53,0.0
2014-02-16,84,56,0.0
2014-02-17,88,55,0.0
2014-02-18,86,57,0.0
2014-02-19,82,58,0.0
2014-02-20,77,52,0.0
2014-02-21,77,53,0.0
2014-02-22,79,50,0.0
2014-02-23,82,53,0.0
2014-02-24,83,53,0.0
2014-02-25,77,58,0.0
2014-02-26,81,55,0.0
2014-02-27,81,56,0.0
2014-02-28,84,58,0.0
2014-03-01,71,55,0.94
2014-03-02,68,53,0.05
2014-03-03,75,53,0.0
2014-03-04,76,58,0.0
2014-03-05,82,55,0.0
2014-03-06,79,58,0.0
2014-03-07,81,55,0.0
2014-03-08,80,54,0.0
2014-03-09,81,59,0.0
2014-03-10,81,56,0.0
2014-03-11,82,55,0.0
2014-03-12,83,54,0.0
2014-03-13,81,61,0.0
2014-03-14,80,62,0.0
2014-03-15,86,55,0.0
2014-03-16,82,56,0.0
2014-03-17,87,54,0.0
2014-03-18,81,61,0.0
2014-03-19,82,54,0.0
2014-03-20,83,55,0.0
2014-03-21,85,56,0.0
2014-03-22,82,56,0.0
2014-03-23,84,58,0.0
2014-03-24,89,59,0.0
2014-03-25,89,61,0.0
2014-03-26,80,61,0.0
2014-03-27,74,56,0.0
2014-03-28,79,55,0.0
2014-03-29,88,57,0.0
2014-03-30,83,62,0.0
2014-03-31,85,55,0.0
2014-04-01,79,57,0.0
2014-04-02,71,55,0.0
2014-04-03,73,50,0.0
2014-04-04,80,52,0.0
2014-04-05,78,58,0.0
