Date,MaxTemp,MinTemp,Precipitation
2014-01-01,61,39,0.0
2014-01-02,57,35,0.0
2014-01-03,57,28,0.0
2014-01-04,71,46,0.0
2014-01-05,58,38,0.0
2014-01-06,38,27,0.0
2014-01-07,46,22,0.0
2014-01-08,55,41,0.08
2014-01-09,69,52,0.001
2014-01-10,73,59,0.04
2014-01-11,78,47,0.0
2014-01-12,72,39,0.001
2014-01-13,72,40,0.0
2014-01-14,76,35,0.0
2014-01-15,66,40,0.0
2014-01-16,71,35,0.0
2014-01-17,69,42,0.0
2014-01-18,70,34,0.0
2014-01-19,74,43,0.0
2014-01-20,82,43,0.0
2014-01-21,69,40,0.0
2014-01-22,71,34,0.0
2014-01-23,56,30,0.08
2014-01-24,40,27,0.03
2014-01-25,67,30,0.0
2014-01-26,80,40,0.0
2014-01-27,58,40,0.001
2014-01-28,40,30,0.001
2014-01-29,50,28,0.0
2014-01-30,68,34,0.0
2014-01-31,81,53,0.0
2014-02-01,80,66,0.001
2014-02-02,68,38,0.06
2014-02-03,52,38,0.001
2014-02-04,71,42,0.13
2014-02-05,52,33,0.0
2014-02-06,35,29,0.02
2014-02-07,39,30,0.001
2014-02-08,68,39,0.0
2014-02-09,71,42,0.0
2014-02-10,62,37,0.001
2014-02-11,38,34,0.001
2014-02-12,62,36,0.0
2014-02-13,70,33,0.0
2014-02-14,92,42,0.0
2014-02-15,79,50,0.0
2014-02-16,75,63,0.0
2014-02-17,83,62,0.001
2014-02-18,80,63,0.001
2014-02-19,85,60,0.001
2014-02-20,86,58,0.0
2014-02-21,72,47,0.0
2014-02-22,74,47,0.0
2014-02-23,85,64,0.001
2014-02-24,79,61,0.0
2014-02-25,78,57,0.08
2014-02-26,57,37,0.13
2014-02-27,59,32,0.0
2014-02-28,77,47,0.001
2014-03-01,86,48,0.001
2014-03-02,80,31,0.001
2014-03-03,48,27,0.01
2014-03-04,49,34,0.001
2014-03-05,62,41,0.001
2014-03-06,66,43,0.0
2014-03-07,70,41,0.0
2014-03-08,64,42,0.3
2014-03-09,54,45,0.02
2014-03-10,67,50,0.28
2014-03-11,81,55,0.0
2014-03-12,69,45,0.0
2014-03-13,68,38,0.0
2014-03-14,77,48,0.0
2014-03-15,80,64,0.02
2014-03-16,70,49,0.01
2014-03-17,71,42,0.0
2014-03-18,86,43,0.0
2014-03-19,75,55,0.0
2014-03-20,78,45,0.0
2014-03-21,81,54,0.0
2014-03-22,80,65,0.001
2014-03-23,71,49,0.001
2014-03-24,60,50,0.23
2014-03-25,70,47,0.001
2014-03-26,65,55,0.15
2014-03-27,82,62,0.04
2014-03-28,95,66,0.0
2014-03-29,82,57,0.0
2014-03-30,82,51,0.0
2014-03-31,85,60,0.0
2014-04-01,88,68,0.001
2014-04-02,88,71,0.001
2014-04-03,85,70,0.0
2014-04-04,76,59,0.001
2014-04-05,64,56,0.001
2014-04-06,66,49,0.03
2014-04-07,79,44,0.4
2014-04-08,81,51,0.0
2014-04-09,87,46,0.0
2014-04-10,90,56,0.0
2014-04-11,90,59,0.0
2014-04-12,88,65,0.0
2014-04-13,86,70,0.0
2014-04-14,75,47,0.08
2014-04-15,67,39,0.0
2014-04-16,76,41,0.0
2014-04-17,67,57,0.17
2014-04-18,80,61,0.001
2014-04-19,81,55,0.0
2014-04-20,76,65,0.001
2014-04-21,83,68,0.001
2014-04-22,91,63,0.0
2014-04-23,91,62,0.0
2014-04-24,89,67,0.0
2014-04-25,89,67,0.0
2014-04-26,90,68,0.0
2014-04-27,99,72,0.0
2014-04-28,99,70,0.0
2014-04-29,88,61,0.0
2014-04-30,81,58,0.0
2014-05-01,80,52,0.0
2014-05-02,83,53,0.0
2014-05-03,92,57,0.0
2014-05-04,92,60,0.0
2014-05-05,93,63,0.0
2014-05-06,90,66,0.0
2014-05-07,90,72,0.001
2014-05-08,91,75,0.001
2014-05-09,86,66,0.27
2014-05-10,91,60,0.0
2014-05-11,91,71,0.0
2014-05-12,87,66,2.1
2014-05-13,66,55,0.47
2014-05-14,77,53,0.001
2014-05-15,83,47,0.0
2014-05-16,88,60,0.0
2014-05-17,87,60,0.0
2014-05-18,86,62,0.0
2014-05-19,88,67,0.0
2014-05-20,89,67,0.0
2014-05-21,91,72,0.0
2014-05-22,89,72,0.001
2014-05-23,84,73,0.01
2014-05-24,87,72,0.1
2014-05-25,88,72,0.02
2014-05-26,74,65,1.72
2014-05-27,83,66,0.28
2014-05-28,87,69,0.0
2014-05-29,91,65,0.0
2014-05-30,95,69,0.0
2014-05-31,94,73,0.0
2014-06-01,90,71,0.0
2014-06-02,90,75,0.0
2014-06-03,91,73,0.0
2014-06-04,92,75,0.0
2014-06-05,92,76,0.0
2014-06-06,93,75,0.0
2014-06-07,94,76,0.0
2014-06-08,90,74,0.12
2014-06-09,89,71,1.18
2014-06-10,94,68,0.0
2014-06-11,95,67,0.0
2014-06-12,96,69,0.73
2014-06-13,90,68,0.0
2014-06-14,90,75,0.001
2014-06-15,93,77,0.0
2014-06-16,93,78,0.0
2014-06-17,93,79,0.0
2014-06-18,93,78,0.001
2014-06-19,88,77,0.001
2014-06-20,93,75,0.0
2014-06-21,93,77,0.0
2014-06-22,89,73,0.01
2014-06-23,96,77,0.24
2014-06-24,94,77,0.001
2014-06-25,88,70,2.98
2014-06-26,88,71,0.12
2014-06-27,91,76,0.001
2014-06-28,92,78,0.001
2014-06-29,94,77,0.001
2014-06-30,94,77,0.0
2014-07-01,94,76,0.0
2014-07-02,93,73,0.0
2014-07-03,93,75,0.0
2014-07-04,92,72,0.01
2014-07-05,93,72,0.0
2014-07-06,94,72,0.0
2014-07-07,94,73,0.0
2014-07-08,96,75,0.0
2014-07-09,96,75,0.0
2014-07-10,91,72,0.0
2014-07-11,93,72,0.001
2014-07-12,95,74,0.0
2014-07-13,97,75,0.0
2014-07-14,99,76,0.0
2014-07-15,96,75,0.21
2014-07-16,95,76,0.0
2014-07-17,96,78,0.001
2014-07-18,83,72,3.02
2014-07-19,90,73,0.0
2014-07-20,95,76,0.0
2014-07-21,95,78,0.0
2014-07-22,95,76,0.0
2014-07-23,97,77,0.0
2014-07-24,94,79,0.001
2014-07-25,95,77,0.0
2014-07-26,98,76,0.0
2014-07-27,98,74,0.0
2014-07-28,97,76,0.0
2014-07-29,99,75,0.0
2014-07-30,97,75,0.0
2014-07-31,97,79,0.01
2014-08-01,94,78,0.0
2014-08-02,92,72,0.0
2014-08-03,96,70,0.0
2014-08-04,97,75,0.0
2014-08-05,97,73,0.0
2014-08-06,100,75,0.0
2014-08-07,102,78,0.0
2014-08-08,102,78,0.0
2014-08-09,99,78,0.0
2014-08-10,99,78,0.0
2014-08-11,102,79,0.0
2014-08-12,99,74,0.08
2014-08-13,101,74,0.0
2014-08-14,101,71,0.0
2014-08-15,99,75,0.0
2014-08-16,102,78,0.0
2014-08-17,101,81,0.0
2014-08-18,102,79,0.0
2014-08-19,98,77,0.0
2014-08-20,101,79,0.0
2014-08-21,102,81,0.0
2014-08-22,101,79,0.0
2014-08-23,101,78,0.0
2014-08-24,100,78,0.0
2014-08-25,101,79,0.0
2014-08-26,101,78,0.0
2014-08-27,99,76,0.0
2014-08-28,98,76,0.0
2014-08-29,99,77,0.0
2014-08-30,98,76,0.0
2014-08-31,98,78,0.001
2014-09-01,99,79,0.0
2014-09-02,99,79,0.01
2014-09-03,98,76,0.1
2014-09-04,88,74,0.08
2014-09-05,97,77,0.001
2014-09-06,96,76,0.0
2014-09-07,93,74,0.001
2014-09-08,96,72,0.0
2014-09-09,97,76,0.0
2014-09-10,99,78,0.0
2014-09-11,99,79,0.0
2014-09-12,98,68,0.26
2014-09-13,70,63,0.06
2014-09-14,85,66,0.0
2014-09-15,90,69,0.0
2014-09-16,95,76,0.001
2014-09-17,89,77,0.4
2014-09-18,96,75,0.06
2014-09-19,90,75,0.001
2014-09-20,90,75,0.13
2014-09-21,94,75,0.0
2014-09-22,94,68,0.0
2014-09-23,91,72,0.0
2014-09-24,87,64,0.0
2014-09-25,89,65,0.0
2014-09-26,87,69,0.56
2014-09-27,77,65,0.11
2014-09-28,87,64,0.0
2014-09-29,92,70,0.0
2014-09-30,92,67,0.0
2014-10-01,94,76,0.0
2014-10-02,95,79,0.0
2014-10-03,90,67,0.0
2014-10-04,84,62,0.0
2014-10-05,89,64,0.0
2014-10-06,92,74,0.001
2014-10-07,94,75,0.0
2014-10-08,92,76,0.0
2014-10-09,94,76,0.001
2014-10-10,94,77,0.0
