Date,MaxTemp,MinTemp,Precipitation
2014-01-01,68,47,0.0
2014-01-02,71,47,0.0
2014-01-03,66,46,0.0
2014-01-04,66,56,0.0
2014-01-05,74,50,0.0
2014-01-06,75,47,0.0
2014-01-07,65,50,0.0
2014-01-08,63,52,0.0
2014-01-09,63,54,0.0
2014-01-10,69,50,0.0
2014-01-11,70,50,0.0
2014-01-12,64,50,0.0
2014-01-13,79,49,0.0
2014-01-14,78,51,0.0
2014-01-15,82,52,0.0
2014-01-16,82,52,0.0
2014-01-17,82,52,0.0
2014-01-18,77,51,0.0
2014-01-19,73,52,0.0
2014-01-20,72,51,0.0
2014-01-21,77,52,0.0
2014-01-22,71,53,0.0
2014-01-23,65,50,0.0
2014-01-24,67,58,0.0
2014-01-25,72,60,0.0
2014-01-26,68,55,0.0
2014-01-27,69,58,0.0
2014-01-28,65,54,0.0
2014-01-29,67,53,0.0
2014-01-30,64,56,0.01
2014-01-31,63,55,0.001
2014-02-01,64,51,0.0
2014-02-02,63,48,0.0
2014-02-03,62,52,0.09
2014-02-04,62,52,0.001
2014-02-05,64,54,0.0
2014-02-06,63,55,0.2
2014-02-07,64,56,0.06
2014-02-08,66,53,0.0
2014-02-09,66,58,0.0
2014-02-10,66,54,0.0
2014-02-11,71,52,0.0
2014-02-12,76,52,0.0
2014-02-13,76,53,0.0
2014-02-14,74,53,0.0
2014-02-15,75,52,0.0
2014-02-16,71,54,0.0
2014-02-17,66,54,0.0
2014-02-18,64,58,0.0
2014-02-19,65,56,0.0
2014-02-20,76,53,0.0
2014-02-21,76,57,0.0
2014-02-22,69,54,0.0
2014-02-23,70,49,0.0
2014-02-24,69,54,0.0
2014-02-25,66,59,0.0
2014-02-26,67,59,0.001
2014-02-27,67,59,0.14
2014-02-28,67,60,0.51
2014-03-01,65,57,1.01
2014-03-02,66,57,0.24
2014-03-03,67,52,0.0
2014-03-04,67,58,0.0
2014-03-05,68,55,0.0
2014-03-06,70,60,0.001
2014-03-07,68,60,0.001
2014-03-08,82,54,0.0
2014-03-09,83,57,0.0
2014-03-10,77,57,0.0
2014-03-11,67,57,0.0
2014-03-12,67,59,0.0
2014-03-13,67,60,0.0
2014-03-14,69,56,0.0
2014-03-15,74,57,0.0
2014-03-16,87,59,0.0
2014-03-17,70,59,0.0
2014-03-18,67,62,0.0
2014-03-19,69,58,0.0
2014-03-20,71,59,0.0
2014-03-21,67,62,0.0
2014-03-22,67,61,0.0
2014-03-23,68,61,0.0
2014-03-24,69,62,0.0
2014-03-25,65,61,0.0
2014-03-26,67,59,0.01
2014-03-27,67,59,0.02
2014-03-28,68,57,0.0
2014-03-29,71,56,0.0
2014-03-30,69,60,0.001
2014-03-31,67,56,0.0
2014-04-01,65,58,0.05
2014-04-02,65,55,0.22
2014-04-03,66,52,0.0
2014-04-04,64,53,0.001
2014-04-05,67,55,0.09
2014-04-06,73,54,0.0
2014-04-07,80,58,0.0
2014-04-08,87,61,0.0
2014-04-09,82,61,0.0
2014-04-10,72,57,0.0
2014-04-11,77,60,0.0
2014-04-12,68,61,0.0
2014-04-13,66,61,0.0
2014-04-14,75,59,0.0
2014-04-15,69,59,0.0
2014-04-16,67,58,0.0
2014-04-17,65,60,0.0
2014-04-18,68,62,0.0
2014-04-19,70,62,0.0
2014-04-20,69,61,0.0
2014-04-21,70,61,0.0
2014-04-22,68,60,0.0
2014-04-23,71,59,0.0
2014-04-24,69,60,0.0
2014-04-25,66,60,0.01
2014-04-26,65,56,0.16
2014-04-27,67,59,0.0
2014-04-28,71,57,0.0
2014-04-29,91,60,0.0
2014-04-30,94,68,0.0
2014-05-01,95,66,0.0
2014-05-02,91,65,0.0
2014-05-03,87,65,0.0
2014-05-04,74,63,0.0
2014-05-05,66,62,0.0
2014-05-06,67,60,0.001
2014-05-07,65,59,0.0
2014-05-08,66,60,0.0
2014-05-09,70,57,0.0
2014-05-10,69,62,0.0
2014-05-11,74,60,0.0
2014-05-12,88,61,0.0
2014-05-13,94,65,0.0
2014-05-14,93,67,0.0
2014-05-15,97,70,0.0
2014-05-16,92,67,0.0
2014-05-17,71,63,0.0
2014-05-18,70,63,0.0
2014-05-19,67,63,0.001
2014-05-20,70,62,0.0
2014-05-21,69,62,0.0
2014-05-22,67,63,0.0
2014-05-23,71,63,0.0
2014-05-24,67,63,0.0
2014-05-25,72,63,0.0
2014-05-26,74,65,0.0
2014-05-27,74,65,0.0
2014-05-28,71,64,0.0
2014-05-29,72,64,0.0
2014-05-30,74,62,0.0
2014-05-31,74,63,0.0
2014-06-01,74,63,0.0
2014-06-02,73,64,0.0
2014-06-03,76,63,0.0
2014-06-04,74,63,0.0
2014-06-05,73,62,0.0
2014-06-06,70,63,0.0
2014-06-07,71,62,0.0
2014-06-08,72,64,0.0
2014-06-09,71,65,0.0
2014-06-10,70,63,0.0
2014-06-11,74,65,0.0
2014-06-12,73,65,0.0
2014-06-13,72,64,0.0
2014-06-14,73,63,0.0
2014-06-15,72,65,0.0
2014-06-16,72,65,0.0
2014-06-17,74,64,0.0
2014-06-18,71,64,0.0
2014-06-19,74,62,0.0
2014-06-20,73,63,0.0
2014-06-21,73,64,0.0
2014-06-22,72,65,0.0
2014-06-23,72,65,0.0
2014-06-24,73,64,0.0
2014-06-25,72,65,0.0
2014-06-26,75,67,0.0
2014-06-27,71,66,0.0
2014-06-28,72,65,0.0
2014-06-29,72,67,0.0
2014-06-30,72,67,0.0
2014-07-01,74,67,0.0
2014-07-02,75,67,0.0
2014-07-03,76,67,0.0
2014-07-04,78,68,0.0
2014-07-05,83,70,0.0
2014-07-06,83,71,0.0
2014-07-07,81,69,0.0
2014-07-08,78,68,0.0
2014-07-09,78,68,0.0
2014-07-10,78,70,0.0
2014-07-11,78,70,0.0
2014-07-12,77,69,0.0
2014-07-13,74,68,0.0
2014-07-14,75,69,0.001
2014-07-15,72,69,0.0
2014-07-16,77,69,0.0
2014-07-17,77,69,0.0
2014-07-18,78,68,0.0
2014-07-19,74,69,0.0
2014-07-20,77,70,0.0
2014-07-21,79,70,0.0
2014-07-22,77,69,0.0
2014-07-23,81,67,0.0
2014-07-24,81,69,0.0
2014-07-25,77,69,0.0
2014-07-26,77,68,0.0
2014-07-27,80,70,0.001
2014-07-28,84,71,0.0
2014-07-29,85,71,0.0
2014-07-30,81,71,0.0
2014-07-31,81,70,0.0
2014-08-01,78,69,0.0
2014-08-02,78,70,0.07
2014-08-03,76,72,0.001
2014-08-04,81,70,0.0
2014-08-05,78,67,0.0
2014-08-06,76,68,0.0
2014-08-07,76,68,0.0
2014-08-08,76,69,0.0
2014-08-09,77,69,0.0
2014-08-10,78,67,0.0
2014-08-11,80,70,0.0
2014-08-12,78,70,0.0
2014-08-13,78,70,0.0
2014-08-14,79,69,0.0
2014-08-15,80,69,0.0
2014-08-16,82,70,0.0
2014-08-17,80,70,0.0
2014-08-18,77,69,0.0
2014-08-19,74,69,0.0
2014-08-20,77,69,0.01
2014-08-21,78,70,0.0
2014-08-22,79,69,0.0
2014-08-23,79,67,0.0
2014-08-24,77,67,0.0
2014-08-25,79,69,0.0
2014-08-26,80,68,0.0
2014-08-27,84,70,0.0
2014-08-28,85,72,0.0
2014-08-29,79,70,0.0
2014-08-30,79,68,0.0
2014-08-31,77,67,0.0
2014-09-01,75,68,0.0
2014-09-02,78,70,0.0
2014-09-03,78,70,0.0
2014-09-04,78,69,0.0
2014-09-05,79,69,0.0
2014-09-06,81,71,0.0
2014-09-07,86,73,0.0
2014-09-08,90,74,0.0
2014-09-09,86,73,0.0
2014-09-10,80,71,0.0
2014-09-11,82,72,0.0
2014-09-12,82,72,0.0
2014-09-13,84,70,0.0
2014-09-14,85,73,0.0
2014-09-15,88,74,0.0
2014-09-16,93,75,0.001
2014-09-17,87,74,0.0
2014-09-18,80,72,0.0
2014-09-19,78,68,0.001
2014-09-20,77,70,0.0
2014-09-21,78,69,0.0
2014-09-22,78,68,0.0
2014-09-23,78,67,0.0
2014-09-24,82,69,0.0
2014-09-25,84,71,0.0
2014-09-26,78,69,0.0
2014-09-27,75,68,0.0
2014-09-28,74,66,0.0
2014-09-29,75,64,0.0
2014-09-30,80,65,0.0
2014-10-01,75,67,0.0
2014-10-02,90,65,0.0
2014-10-03,93,66,0.0
2014-10-04,89,65,0.0
2014-10-05,89,63,0.0
2014-10-06,88,65,0.0
2014-10-07,90,68,0.001
2014-10-08,81,63,0.0
2014-10-09,75,67,0.0
2014-10-10,76,66,0.0
2014-10-11,77,67,0.0
2014-10-12,75,67,0.0
2014-10-13,76,63,0.0
2014-10-14,76,66,0.0
2014-10-15,77,68,0.0
2014-10-16,76,67,0.0
2014-10-17,74,67,0.0
2014-10-18,74,67,0.0
2014-10-19,75,67,0.0
2014-10-20,73,66,0.0
2014-10-21,76,66,0.0
2014-10-22,79,63,0.0
2014-10-23,78,62,0.0
2014-10-24,84,62,0.0
2014-10-25,77,67,0.0
2014-10-26,72,64,0.0
2014-10-27,73,61,0.0
2014-10-28,74,61,0.0
2014-10-29,78,62,0.0
2014-10-30,75,61,0.0
2014-10-31,72,67,0.001
2014-11-01,70,59,0.25
2014-11-02,69,57,0.08
2014-11-03,73,55,0.0
2014-11-04,75,54,0.0
2014-11-05,91,54,0.0
2014-11-06,87,58,0.0
2014-11-07,87,59,0.0
2014-11-08,82,58,0.0
2014-11-09,71,57,0.0
2014-11-10,69,63,0.0
2014-11-11,70,65,0.0
2014-11-12,70,64,0.0
2014-11-13,70,63,0.0
2014-11-14,70,62,0.001
2014-11-15,69,62,0.0
2014-11-16,73,59,0.0
2014-11-17,72,53,0.0
2014-11-18,75,53,0.0
2014-11-19,71,52,0.0
2014-11-20,70,54,0.03
2014-11-21,69,60,0.01
