Date,MaxTemp,MinTemp,Precipitation
2014-01-01, 62, 35,0.0
2014-01-02, 65, 38,0.0
2014-01-03, 64, 40,0.0
2014-01-04, 66, 38,0.0
2014-01-05, 66, 35,0.0
2014-01-06, 62, 38,0.0
2014-01-07, 63, 44,0.0
2014-01-08, 58, 50,0.001
2014-01-09, 59, 46,0.01
2014-01-10, 62, 41,0.0
2014-01-11, 59, 43,0.0
2014-01-12, 60, 43,0.0
2014-01-13, 68, 43,0.0
2014-01-14, 76, 37,0.0
2014-01-15, 71, 39,0.0
2014-01-16, 73, 39,0.0
2014-01-17, 69, 39,0.0
2014-01-18, 70, 37,0.0
2014-01-19, 69, 36,0.0
2014-01-20, 69, 38,0.0
2014-01-21, 68, 37,0.0
2014-01-22, 72, 38,0.0
2014-01-23, 67, 40,0.0
2014-01-24, 65, 40,0.0
2014-01-25, 71, 44,0.0
2014-01-26, 71, 45,0.0
2014-01-27, 64, 46,0.0
2014-01-28, 67, 48,0.0
2014-01-29, 68, 55,0.01
2014-01-30, 60, 51,0.1
2014-01-31, 60, 44,0.0
2014-02-01, 60, 37,0.0
2014-02-02, 54, 41,0.08
2014-02-03, 56, 39,0.0
2014-02-04, 56, 36,0.0
2014-02-05, 57, 36,0.01
2014-02-06, 54, 46,0.61
2014-02-07, 55, 47,0.14
2014-02-08, 61, 53,0.02
2014-02-09, 63, 57,0.05
2014-02-10, 62, 51,0.01
2014-02-11, 62, 49,0.0
2014-02-12, 63, 49,0.0
2014-02-13, 69, 49,0.0
2014-02-14, 63, 53,0.001
2014-02-15, 63, 48,0.02
2014-02-16, 63, 47,0.04
2014-02-17, 61, 39,0.0
2014-02-18, 64, 43,0.0
2014-02-19, 63, 49,0.01
2014-02-20, 67, 42,0.0
2014-02-21, 72, 42,0.0
2014-02-22, 71, 42,0.0
2014-02-23, 68, 45,0.0
2014-02-24, 73, 44,0.0
2014-02-25, 66, 44,0.0
2014-02-26, 61, 52,0.68
2014-02-27, 65, 52,0.01
2014-02-28, 62, 52,0.97
2014-03-01, 66, 52,0.21
2014-03-02, 63, 50,0.02
2014-03-03, 63, 48,0.17
2014-03-04, 68, 53,0.0
2014-03-05, 74, 52,0.001
2014-03-06, 67, 52,0.02
2014-03-07, 68, 48,0.0
2014-03-08, 74, 45,0.0
2014-03-09, 81, 57,0.0
2014-03-10, 69, 55,0.01
2014-03-11, 71, 54,0.0
2014-03-12, 77, 50,0.0
2014-03-13, 77, 47,0.0
2014-03-14, 71, 44,0.0
2014-03-15, 79, 48,0.0
2014-03-16, 80, 49,0.0
2014-03-17, 69, 48,0.0
2014-03-18, 71, 44,0.0
2014-03-19, 76, 45,0.0
2014-03-20, 74, 49,0.0
2014-03-21, 70, 46,0.0
2014-03-22, 71, 46,0.0
2014-03-23, 69, 47,0.0
2014-03-24, 75, 46,0.0
2014-03-25, 67, 44,0.08
2014-03-26, 63, 50,0.08
2014-03-27, 65, 46,0.0
2014-03-28, 71, 50,0.0
2014-03-29, 63, 50,0.33
2014-03-30, 63, 47,0.01
2014-03-31, 57, 43,0.42
2014-04-01, 57, 43,0.29
2014-04-02, 61, 43,0.01
2014-04-03, 66, 43,0.0
2014-04-04, 61, 49,0.09
2014-04-05, 67, 50,0.0
2014-04-06, 76, 46,0.0
2014-04-07, 82, 53,0.0
2014-04-08, 87, 56,0.0
2014-04-09, 75, 54,0.0
2014-04-10, 80, 52,0.0
2014-04-11, 70, 54,0.0
2014-04-12, 71, 53,0.0
2014-04-13, 75, 54,0.0
2014-04-14, 76, 51,0.0
2014-04-15, 72, 54,0.0
2014-04-16, 79, 49,0.0
2014-04-17, 73, 52,0.0
2014-04-18, 71, 51,0.0
2014-04-19, 69, 50,0.0
2014-04-20, 80, 50,0.0
2014-04-21, 74, 50,0.0
2014-04-22, 65, 50,0.001
2014-04-23, 67, 47,0.0
2014-04-24, 68, 50,0.001
2014-04-25, 61, 50,0.25
2014-04-26, 63, 49,0.0
2014-04-27, 67, 51,0.0
2014-04-28, 73, 47,0.0
2014-04-29, 86, 48,0.0
2014-04-30, 93, 58,0.0
2014-05-01, 92, 58,0.0
2014-05-02, 84, 54,0.0
2014-05-03, 69, 54,0.0
2014-05-04, 71, 52,0.0
2014-05-05, 67, 53,0.0
2014-05-06, 71, 50,0.0
2014-05-07, 70, 48,0.0
2014-05-08, 70, 50,0.001
2014-05-09, 70, 53,0.0
2014-05-10, 69, 51,0.0
2014-05-11, 78, 48,0.0
2014-05-12, 86, 50,0.0
2014-05-13, 95, 55,0.0
2014-05-14, 94, 57,0.0
2014-05-15, 89, 58,0.0
2014-05-16, 78, 56,0.0
2014-05-17, 72, 54,0.0
2014-05-18, 72, 56,0.0
2014-05-19, 71, 51,0.0
2014-05-20, 72, 53,0.0
2014-05-21, 77, 55,0.0
2014-05-22, 76, 55,0.0
2014-05-23, 76, 56,0.0
2014-05-24, 74, 55,0.0
2014-05-25, 83, 54,0.0
2014-05-26, 82, 54,0.0
2014-05-27, 74, 52,0.0
2014-05-28, 76, 52,0.0
2014-05-29, 83, 53,0.0
2014-05-30, 69, 52,0.0
2014-05-31, 76, 55,0.0
2014-06-01, 80, 52,0.0
2014-06-02, 75, 51,0.0
2014-06-03, 78, 54,0.0
2014-06-04, 80, 52,0.0
2014-06-05, 81, 55,0.0
2014-06-06, 77, 53,0.0
2014-06-07, 79, 53,0.0
2014-06-08, 92, 58,0.0
2014-06-09, 88, 63,0.0
2014-06-10, 77, 57,0.0
2014-06-11, 79, 57,0.0
2014-06-12, 72, 57,0.0
2014-06-13, 79, 53,0.0
2014-06-14, 88, 55,0.0
2014-06-15, 74, 54,0.0
2014-06-16, 71, 53,0.0
2014-06-17, 78, 52,0.0
2014-06-18, 88, 53,0.0
2014-06-19, 77, 55,0.0
2014-06-20, 83, 56,0.0
2014-06-21, 72, 54,0.0
2014-06-22, 74, 53,0.0
2014-06-23, 78, 53,0.0
2014-06-24, 75, 57,0.0
2014-06-25, 74, 57,0.0
2014-06-26, 77, 60,0.01
2014-06-27, 78, 59,0.0
2014-06-28, 77, 59,0.0
2014-06-29, 87, 57,0.0
2014-06-30, 92, 62,0.0
2014-07-01, 79, 57,0.0
2014-07-02, 81, 57,0.0
2014-07-03, 81, 56,0.0
2014-07-04, 79, 58,0.0
2014-07-05, 82, 57,0.0
2014-07-06, 82, 57,0.0
2014-07-07, 82, 59,0.0
2014-07-08, 80, 59,0.0
2014-07-09, 80, 57,0.0
2014-07-10, 80, 58,0.0
2014-07-11, 76, 59,0.0
2014-07-12, 73, 58,0.0
2014-07-13, 77, 58,0.0
2014-07-14, 86, 62,0.0
2014-07-15, 83, 61,0.001
2014-07-16, 83, 62,0.0
2014-07-17, 78, 60,0.0
2014-07-18, 76, 61,0.0
2014-07-19, 78, 62,0.0
2014-07-20, 78, 63,0.0
2014-07-21, 79, 62,0.0
2014-07-22, 79, 62,0.001
2014-07-23, 78, 59,0.0
2014-07-24, 85, 59,0.0
2014-07-25, 94, 61,0.0
2014-07-26, 88, 61,0.0
2014-07-27, 86, 62,0.0
2014-07-28, 82, 60,0.0
2014-07-29, 83, 62,0.0
2014-07-30, 82, 61,0.0
2014-07-31, 80, 61,0.0
2014-08-01, 82, 60,0.0
2014-08-02, 75, 60,0.0
2014-08-03, 74, 58,0.0
2014-08-04, 79, 59,0.0
2014-08-05, 80, 62,0.0
2014-08-06, 85, 62,0.001
2014-08-07, 78, 62,0.0
2014-08-08, 80, 58,0.0
2014-08-09, 75, 58,0.0
2014-08-10, 80, 59,0.0
2014-08-11, 79, 58,0.0
2014-08-12, 79, 59,0.0
2014-08-13, 81, 61,0.0
2014-08-14, 79, 61,0.0
2014-08-15, 81, 57,0.0
2014-08-16, 80, 60,0.0
2014-08-17, 77, 59,0.0
2014-08-18, 76, 59,0.0
2014-08-19, 79, 61,0.0
2014-08-20, 81, 60,0.0
2014-08-21, 80, 59,0.0
2014-08-22, 81, 60,0.0
